Series Ticker,H2H Markets,H2H Accuracy,Multi Markets,Multi Accuracy,Single Markets,Single Accuracy,Total Markets,Overall Accuracy
KXLOWTAUS,4,50.0,0,0.0,11,100.0,15,86.66666666666667
KXTOPSONG,8,50.0,0,0.0,7,85.71428571428571,15,66.66666666666666
KXFRM,2,100.0,0,0.0,13,100.0,15,100.0
KXPGARYDERMATCH,0,0.0,15,80.0,0,0.0,15,80.0
KXLOWTMIA,0,0.0,0,0.0,14,100.0,14,100.0
KXGBP,6,100.0,0,0.0,8,100.0,14,100.0
KXNETFLIXRANKSHOWRUNNERUP,2,50.0,6,16.666666666666664,6,83.33333333333334,14,50.0
KXEFLCUPGAME,2,100.0,8,87.5,4,75.0,14,85.71428571428571
KXCASEW,4,100.0,0,0.0,10,90.0,14,92.85714285714286
KXAFCONADVANCE,4,100.0,3,66.66666666666666,6,83.33333333333334,13,84.61538461538461
KXCPIUSEDCAR,2,100.0,3,100.0,8,87.5,13,92.3076923076923
KXFED,6,100.0,6,100.0,1,100.0,13,100.0
KXTSAW,0,0.0,8,100.0,5,40.0,13,76.92307692307693
KXTACAPORTGAME,4,75.0,5,60.0,4,100.0,13,76.92307692307693
KXNCAAHOCKEYGAME,2,0.0,9,55.55555555555556,2,100.0,13,53.84615384615385
KXATPMIA,0,0.0,0,0.0,13,84.61538461538461,13,84.61538461538461
KXSHLGAME,4,100.0,6,100.0,3,100.0,13,100.0
KXSERIEASPREAD,4,75.0,0,0.0,8,87.5,12,83.33333333333334
KXNETFLIXRANKSHOW,0,0.0,0,0.0,12,91.66666666666666,12,91.66666666666666
KXUCLSPREAD,0,0.0,12,66.66666666666666,0,0.0,12,66.66666666666666
KXCS2TOTALMAPS,2,100.0,0,0.0,10,60.0,12,66.66666666666666
KXNFL2TD,4,100.0,7,42.857142857142854,1,100.0,12,66.66666666666666
KXUNRIVALEDGAME,6,66.66666666666666,3,66.66666666666666,3,100.0,12,75.0
KX538APPROVE,2,50.0,0,0.0,10,70.0,12,66.66666666666666
KXFLIGHTJFK,0,0.0,0,0.0,12,91.66666666666666,12,91.66666666666666
KXAPRPOTUS,0,0.0,0,0.0,11,81.81818181818183,11,81.81818181818183
KXNETFLIXRANKMOVIERUNNERUP,6,33.33333333333333,0,0.0,5,80.0,11,54.54545454545454
