series_ticker,sub_category,total_markets,markets_0-15min,accuracy_0-15min,status_0-15min,markets_15-60min,accuracy_15-60min,status_15-60min,markets_1-3hrs,accuracy_1-3hrs,status_1-3hrs,markets_3hrs+,accuracy_3hrs+,status_3hrs+
KXLALIGATOTAL,Sports > Soccer > La Liga,49,12,83.3,NOT,22,81.8,NOT,12,100.0,PROFITABLE,3,66.7,NOT
KXLATENIGHTMENTION,Mentions > Mentions,57,0,,N/A,0,,N/A,0,,N/A,57,52.6,NOT
KXLIGAMXGAME,Sports > Soccer > Liga MX,53,10,90.0,NOT,25,84.0,NOT,18,77.8,NOT,0,,N/A
KXLIGAPORTUGALGAME,Sports > Soccer > Liga Portugal,55,17,82.4,NOT,25,88.0,NOT,12,83.3,NOT,1,100.0,PROFITABLE
KXLIGUE1GAME,Sports > Soccer > Ligue 1,57,26,92.3,PROFITABLE,18,94.4,PROFITABLE,13,100.0,PROFITABLE,0,,N/A
KXLIGUE1TOTAL,Sports > Soccer > Ligue 1,35,9,77.8,NOT,13,92.3,PROFITABLE,13,84.6,NOT,0,,N/A
KXLNBELITEGAME,Sports > Other Sports,36,0,,N/A,11,100.0,PROFITABLE,17,82.4,NOT,8,75.0,NOT
KXLOLGAME,Sports > Esports > League of Legends,100,5,100.0,PROFITABLE,42,90.5,NOT,38,89.5,NOT,15,80.0,NOT
KXLOLGAMES,Sports > Esports > League of Legends,26,0,,N/A,2,100.0,PROFITABLE,2,100.0,PROFITABLE,22,86.4,NOT
KXLOLMAP,Sports > Esports > League of Legends,41,16,81.2,NOT,22,68.2,NOT,3,33.3,NOT,0,,N/A
KXLOWTCHI,Climate and Weather > Temperature,20,0,,N/A,1,100.0,PROFITABLE,3,66.7,NOT,16,81.2,NOT
KXLOWTLAX,Climate and Weather > Temperature,21,0,,N/A,0,,N/A,0,,N/A,21,81.0,NOT
KXLOWTNYC,Climate and Weather > Temperature,21,1,100.0,PROFITABLE,3,100.0,PROFITABLE,2,50.0,NOT,15,80.0,NOT
KXLOWTPHIL,Climate and Weather > Temperature,22,0,,N/A,1,100.0,PROFITABLE,0,,N/A,21,95.2,PROFITABLE
KXMAMDANIMENTION,Mentions > Mentions,87,0,,N/A,10,100.0,PROFITABLE,55,83.6,NOT,22,63.6,NOT
KXMLBGAME,Sports > Baseball > MLB,65,15,100.0,PROFITABLE,16,87.5,NOT,34,94.1,PROFITABLE,0,,N/A
KXMLBSPREAD,Sports > Baseball > MLB,40,3,100.0,PROFITABLE,26,92.3,PROFITABLE,11,90.9,NOT,0,,N/A
KXMLBTOTAL,Sports > Baseball > MLB,20,2,50.0,NOT,1,0.0,NOT,8,75.0,NOT,9,88.9,NOT
KXMLSGAME,Sports > Soccer > MLS,63,11,90.9,NOT,30,83.3,NOT,16,93.8,PROFITABLE,6,83.3,NOT
KXMRBEASTMENTION,Mentions > Mentions,90,0,,N/A,0,,N/A,5,100.0,PROFITABLE,85,71.8,NOT
KXNASDAQ100Z,Financials > Stock Indices,27,0,,N/A,4,75.0,NOT,5,100.0,PROFITABLE,18,94.4,PROFITABLE
KXNBAGAME,Sports > Basketball > NBA,32,4,100.0,PROFITABLE,18,100.0,PROFITABLE,10,100.0,PROFITABLE,0,,N/A
KXNBAMENTION,Mentions > Mentions,83,0,,N/A,0,,N/A,7,42.9,NOT,76,94.7,PROFITABLE
KXNBASPREAD,Sports > Basketball > NBA,24,0,,N/A,9,100.0,PROFITABLE,12,100.0,PROFITABLE,3,100.0,PROFITABLE
KXNBATOTAL,Sports > Basketball > NBA,84,8,100.0,PROFITABLE,34,100.0,PROFITABLE,40,90.0,NOT,2,100.0,PROFITABLE
KXNBLGAME,Sports > Other Sports,63,7,100.0,PROFITABLE,36,83.3,NOT,13,92.3,PROFITABLE,7,85.7,NOT
KXNCAABMENTION,Mentions > Mentions,86,0,,N/A,0,,N/A,20,85.0,NOT,66,60.6,NOT
KXNCAAFGAME,Sports > Football > NCAA Football,51,15,100.0,PROFITABLE,13,100.0,PROFITABLE,16,93.8,PROFITABLE,7,100.0,PROFITABLE
KXNCAAFSPREAD,Sports > Football > NCAA Football,63,0,,N/A,2,100.0,PROFITABLE,48,91.7,PROFITABLE,13,69.2,NOT
KXNCAAFTOTAL,Sports > Football > NCAA Football,105,1,100.0,PROFITABLE,12,91.7,PROFITABLE,33,97.0,PROFITABLE,59,96.6,PROFITABLE
KXNCAAMENTION,Mentions > Mentions,101,0,,N/A,2,50.0,NOT,8,62.5,NOT,91,81.3,NOT
KXNFLGAME,Sports > Football > NFL,36,11,90.9,NOT,11,100.0,PROFITABLE,14,100.0,PROFITABLE,0,,N/A
KXNFLMENTION,Mentions > Mentions,71,6,100.0,PROFITABLE,0,,N/A,8,75.0,NOT,57,96.5,PROFITABLE
KXNFLPASSTDS,Sports > Football > NFL,46,16,100.0,PROFITABLE,5,40.0,NOT,14,50.0,NOT,11,54.5,NOT
KXNFLPASSYDS,Sports > Football > NFL,114,0,,N/A,21,76.2,NOT,39,71.8,NOT,54,61.1,NOT
KXNFLPREPACK,Sports > Football > NFL,21,1,0.0,NOT,13,69.2,NOT,5,80.0,NOT,2,0.0,NOT
KXNFLPREPACK2ML,Sports > Football > NFL,35,4,75.0,NOT,9,77.8,NOT,18,83.3,NOT,4,50.0,NOT
KXNFLPREPACKSGP,Sports > Football > NFL,32,5,100.0,PROFITABLE,14,100.0,PROFITABLE,13,84.6,NOT,0,,N/A
KXNFLREC,Sports > Football > NFL,89,0,,N/A,15,86.7,NOT,23,69.6,NOT,51,82.4,NOT
KXNFLRECYDS,Sports > Football > NFL,80,0,,N/A,10,50.0,NOT,23,87.0,NOT,47,68.1,NOT
KXNFLRSHYDS,Sports > Football > NFL,126,0,,N/A,11,72.7,NOT,43,60.5,NOT,72,48.6,NOT
KXNFLSPREAD,Sports > Football > NFL,46,0,,N/A,33,93.9,PROFITABLE,12,100.0,PROFITABLE,1,0.0,NOT
KXNFLTEAMTOTAL,Sports > Football > NFL,101,1,100.0,PROFITABLE,11,81.8,NOT,37,75.7,NOT,52,75.0,NOT
KXNFLTOTAL,Sports > Football > NFL,78,1,100.0,PROFITABLE,27,88.9,NOT,42,97.6,PROFITABLE,8,100.0,PROFITABLE
KXNHLGAME,Sports > Hockey > NHL,75,0,,N/A,40,92.5,PROFITABLE,34,100.0,PROFITABLE,1,100.0,PROFITABLE
KXNHLSPREAD,Sports > Hockey > NHL,29,0,,N/A,13,100.0,PROFITABLE,15,66.7,NOT,1,0.0,NOT
KXNHLTOTAL,Sports > Hockey > NHL,85,3,100.0,PROFITABLE,25,88.0,NOT,39,94.9,PROFITABLE,18,83.3,NOT
KXR6GAME,Sports > Esports > Rainbow Six Siege,35,3,100.0,PROFITABLE,13,76.9,NOT,11,81.8,NOT,8,75.0,NOT
KXRAINNYC,Climate and Weather > Precipitation,34,0,,N/A,0,,N/A,0,,N/A,34,82.4,NOT
KXRAINNYCM,Climate and Weather > Precipitation,33,0,,N/A,0,,N/A,0,,N/A,33,84.8,NOT
KXRAINSEA,Climate and Weather > Precipitation,45,0,,N/A,0,,N/A,12,83.3,NOT,33,90.9,NOT
KXSAUDIPLGAME,Sports > Soccer > Saudi Pro League,58,13,92.3,PROFITABLE,27,92.6,PROFITABLE,16,100.0,PROFITABLE,2,50.0,NOT
KXSCOTTISHPREMGAME,Sports > Soccer > Scottish Premiership,52,7,100.0,PROFITABLE,32,93.8,PROFITABLE,12,100.0,PROFITABLE,1,100.0,PROFITABLE
KXSERIEAGAME,Sports > Soccer > Serie A,61,26,84.6,NOT,23,82.6,NOT,12,100.0,PROFITABLE,0,,N/A
KXSERIEATOTAL,Sports > Soccer > Serie A,49,12,91.7,PROFITABLE,17,82.4,NOT,17,64.7,NOT,3,66.7,NOT
KXSLGREECEGAME,Sports > Soccer > Super League Greece,22,7,85.7,NOT,12,91.7,PROFITABLE,2,100.0,PROFITABLE,1,100.0,PROFITABLE
KXSNLMENTION,Mentions > Mentions,46,0,,N/A,0,,N/A,0,,N/A,46,50.0,NOT
KXSNOWNYM,Climate and Weather > Precipitation,21,0,,N/A,0,,N/A,0,,N/A,21,95.2,PROFITABLE
KXSOL15M,Crypto > Solana,53,53,92.5,PROFITABLE,0,,N/A,0,,N/A,0,,N/A
KXSPACEXSTARSHIP,Companies > Companies,25,0,,N/A,0,,N/A,0,,N/A,25,80.0,NOT
KXSTARMERMENTION,Mentions > Mentions,51,0,,N/A,0,,N/A,0,,N/A,51,56.9,NOT
KXSUPERLIGGAME,Sports > Soccer > Turkish Super Lig,56,23,91.3,PROFITABLE,23,95.7,PROFITABLE,10,80.0,NOT,0,,N/A
KXSURVIVORMENTION,Mentions > Mentions,62,0,,N/A,0,,N/A,0,,N/A,62,56.5,NOT
KXSWISSLEAGUEGAME,Sports > Soccer > Swiss Super League,50,21,85.7,NOT,16,81.2,NOT,12,75.0,NOT,1,0.0,NOT
KXTRUMPMENTION,Mentions > Mentions,66,0,,N/A,3,100.0,PROFITABLE,27,66.7,NOT,36,77.8,NOT
KXTRUMPMENTIONB,Mentions > Mentions,108,0,,N/A,5,100.0,PROFITABLE,27,51.9,NOT,76,80.3,NOT
KXU3,Economics > Employment & Fed,29,0,,N/A,0,,N/A,0,,N/A,29,89.7,NOT
KXUCLGAME,Sports > Soccer > UEFA Champions League,51,22,95.5,PROFITABLE,19,94.7,PROFITABLE,10,80.0,NOT,0,,N/A
KXUCLTOTAL,Sports > Soccer > UEFA Champions League,59,8,100.0,PROFITABLE,23,87.0,NOT,20,90.0,NOT,8,87.5,NOT
KXUECLGAME,Sports > Soccer > UEFA Conference League,63,30,83.3,NOT,18,88.9,NOT,15,80.0,NOT,0,,N/A
KXUELGAME,Sports > Soccer > UEFA Europa League,58,19,94.7,PROFITABLE,22,81.8,NOT,17,100.0,PROFITABLE,0,,N/A
KXUFCFIGHT,Sports > MMA > UFC,44,22,95.5,PROFITABLE,19,94.7,PROFITABLE,0,,N/A,3,66.7,NOT
KXUFCMOV,Sports > MMA > UFC,32,3,33.3,NOT,26,34.6,NOT,3,33.3,NOT,0,,N/A
KXUNITEDCUPMATCH,Sports > Tennis > United Cup,39,6,100.0,PROFITABLE,17,88.2,NOT,11,90.9,NOT,5,100.0,PROFITABLE
KXVALORANTGAME,Sports > Esports > Valorant,65,5,100.0,PROFITABLE,31,83.9,NOT,18,77.8,NOT,11,81.8,NOT
KXVANCEMENTION,Mentions > Mentions,76,0,,N/A,0,,N/A,3,66.7,NOT,73,74.0,NOT
KXVAXX,Health > COVID-19,23,0,,N/A,0,,N/A,0,,N/A,23,82.6,NOT
KXWNBAGAME,Sports > Basketball > NBA,89,1,100.0,PROFITABLE,36,83.3,NOT,40,87.5,NOT,12,91.7,PROFITABLE
KXWTACHALLENGERMATCH,Sports > Tennis > WTA Challenger,72,6,100.0,PROFITABLE,32,93.8,PROFITABLE,24,95.8,PROFITABLE,10,80.0,NOT
KXWTAMATCH,Sports > Tennis > WTA,88,14,100.0,PROFITABLE,58,96.6,PROFITABLE,13,100.0,PROFITABLE,3,66.7,NOT
KXXRP15M,Crypto > XRP,32,32,75.0,NOT,0,,N/A,0,,N/A,0,,N/A
