ticker,title,category,series_ticker,result,hit_90_percent,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S2026D3F0FD791C5-4B739C9525A,"yes Western Illinois,yes Marquette,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,111,
KXMVESPORTSMULTIGAMEEXTENDED-S20266A990D84007-051754BFC15,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,38,
KXMVESPORTSMULTIGAMEEXTENDED-S20264258D7F3FC0-67C9F365710,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026884DBED8AC3-D0B21C87FB8,"yes Western Illinois,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,33,
KXMVESPORTSMULTIGAMEEXTENDED-S20263FF64FFD99D-1EAB1685359,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga,no Over 152.5 points scored,no Over 160.5 points scored,yes Over 149.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,1,
KXMVESPORTSMULTIGAMEEXTENDED-S2026F4ED09E3DFE-9EE30FBF511,"yes Marquette,yes Nebraska,yes Arkansas wins by over 8.5 Points,no Western Illinois wins by over 5.5 Points,no Over 171.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,567,
KXMVESPORTSMULTIGAMEEXTENDED-S2026358BABF804D-786F89321E4,"yes Colorado St.,yes Western Illinois,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026DC872CA0D50-CB8953A40E6,"yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202691792CBAF8A-E1A3ACDE20B,"yes Phoenix,yes New York,yes Houston,yes San Antonio wins by over 2.5 Points,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20267A95C14030D-B952AFEB85E,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Marquette,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202632B1BE1E090-28888CEFE26,"yes Nebraska,yes Over 158.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026CDBE34FFAC0-4EB673B1246,"yes New York,yes Houston,yes Arkansas,yes BYU,yes Colorado St.,yes Pittsburgh,yes Eastern Illinois,yes Saint Joseph's,yes Richmond,yes Houston,yes Villanova,yes SMU,yes Arizona St.,yes Nebraska,yes North Carolina,yes Rhode Island,yes Virginia,yes Vanderbilt,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,1162,
KXMVESPORTSMULTIGAMEEXTENDED-S202680A68F4F58E-4FC61A91AFB,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026DB5640BFE52-373274A5A7F,"yes Indiana,yes Nebraska,no Duke wins by over 15.5 Points,yes Over 142.5 points scored,yes Over 160.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,167,
KXMVESPORTSMULTIGAMEEXTENDED-S202658EC6DA384E-A64E7D385D0,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Utah St.,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026DB6D3CD45A9-9812208FF49,"yes Marquette,yes Arizona St.,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202609F914A5829-9839BC3DB69,"yes Western Illinois,yes Villanova,yes Oklahoma St.,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,94,
KXMVESPORTSMULTIGAMEEXTENDED-S20260898602C6F1-072E4D03411,"yes Arkansas,yes Western Illinois,yes Marquette,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202690D9AD9846C-6E5D031E90D,"yes Western Illinois,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026C2DC6E17246-5DCA2B7D9A7,"yes Arkansas,yes Nebraska,no Villanova wins by over 3.5 Points,no Illinois wins by over 11.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,38,
KXMVESPORTSMULTIGAMEEXTENDED-S2026E3D2D5D8F4D-98EA5E1D29E,"yes San Antonio wins by over 8.5 Points,yes Arkansas,yes Arizona St.,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,369,
KXMVESPORTSMULTIGAMEEXTENDED-S20267C31007E915-2E7E9F3D683,"yes Nebraska,yes Illinois,yes Iowa St. wins by over 3.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20260311566426D-0EE3C52B0A9,"yes Western Illinois,yes Villanova,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026EB25D1CF62E-5AB503A187D,"yes Phoenix,yes New York,yes Over 238.5 points scored,yes Nebraska",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,55,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B58D8EF4D38-710CDF199A2,"yes Nebraska,no Villanova wins by over 3.5 Points,no Illinois wins by over 11.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026116E93F01AC-68E2866630F,"yes Indiana,yes Marquette,yes Nebraska,yes Wisconsin",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,955,
KXMVESPORTSMULTIGAMEEXTENDED-S2026F8AB71496A9-F4997A1E341,"yes Devin Booker: 1+,yes Jalen Brunson: 3+,yes Kevin Durant: 2+,yes Alperen Sengun: 2+,yes De'Aaron Fox: 2+,yes Pascal Siakam: 20+,yes Jalen Brunson: 30+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 15+,yes Josh Hart: 10+,yes Alperen Sengun: 6+,yes Victor Wembanyama: 10+,yes Arkansas,yes BYU,yes Colorado St.,yes Western Illinois,yes Fordham,yes Villanova,yes Nebraska,yes Vanderbilt,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,450,
KXMVESPORTSMULTIGAMEEXTENDED-S2026D3F0FD791C5-4A2B8FE4008,"yes Eastern Illinois,yes Villanova,yes Nebraska,yes Wisconsin",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,566,
KXMVESPORTSMULTIGAMEEXTENDED-S2026CB6F18E6A43-966D892A2BE,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Nebraska,yes Vanderbilt,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,26,
KXMVESPORTSMULTIGAMEEXTENDED-S2026113DF44B588-14078F46E5F,"yes Colorado St.,yes Western Illinois,yes Fordham,yes Villanova,yes SMU,yes Nebraska,yes Miami (FL),yes George Washington,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026113DF44B588-C9367B6668D,"yes Colorado St.,yes Eastern Illinois,yes Fordham,yes Marquette,yes SMU,yes Nebraska,yes Miami (FL),yes George Washington,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20267713D13BBA2-89F59021D63,"yes Villanova,yes Nebraska,no Over 162.5 points scored",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026C2DC6E17246-0D0122B990F,"yes Arkansas,yes Nebraska,no Villanova wins by over 3.5 Points,no Illinois wins by over 5.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026F66CBA3ADED-B20AFA6573B,"yes Villanova,yes Nebraska,yes Illinois,no Eastern Illinois wins by over 10.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,17,
KXMVESPORTSMULTIGAMEEXTENDED-S202607364CBADA3-A9686C8B2DF,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,241,
KXMVESPORTSMULTIGAMEEXTENDED-S20266BBE447D593-8114C66BAEB,"yes Arkansas,yes TCU,yes Villanova,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026113DF44B588-BEE3155F722,"yes Colorado St.,yes Eastern Illinois,yes Fordham,yes Villanova,yes SMU,yes Nebraska,yes Miami (FL),yes George Washington,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026F9952DA50BC-660196B21F9,"yes Phoenix,yes New York,yes San Antonio,yes Nebraska,yes Wisconsin",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
