series_ticker,sub_category,total_markets,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
KXHIGHDEN,Climate and Weather > Temperature,26,1,100.0,PROFITABLE,1,100.0,PROFITABLE,7,100.0,PROFITABLE,17,82.4,NOT
KXHIGHHOU,Climate and Weather > Temperature,24,0,,N/A,3,100.0,PROFITABLE,7,100.0,PROFITABLE,14,71.4,NOT
KXHIGHLAX,Climate and Weather > Temperature,28,0,,N/A,0,,N/A,24,95.8,PROFITABLE,4,100.0,PROFITABLE
KXHIGHMIA,Climate and Weather > Temperature,27,0,,N/A,0,,N/A,19,89.5,NOT,8,100.0,PROFITABLE
KXHIGHNY,Climate and Weather > Temperature,52,0,,N/A,4,100.0,PROFITABLE,14,100.0,PROFITABLE,34,94.1,PROFITABLE
KXHIGHTDC,Climate and Weather > Temperature,34,0,,N/A,0,,N/A,10,60.0,NOT,24,91.7,PROFITABLE
KXHIGHTSFO,Climate and Weather > Temperature,46,0,,N/A,0,,N/A,4,50.0,NOT,42,71.4,NOT
KXHNLGAME,Sports > Soccer > Croatia HNL,54,0,,N/A,0,,N/A,0,,N/A,54,92.6,PROFITABLE
KXHOCHULMENTION,Mentions > Mentions,90,41,78.0,NOT,23,95.7,PROFITABLE,12,66.7,NOT,14,85.7,NOT
KXHURCAT,Climate and Weather > Other Weather,21,0,,N/A,0,,N/A,0,,N/A,21,90.5,NOT
KXINXZ,Financials > Stock Indices,46,0,,N/A,1,100.0,PROFITABLE,6,100.0,PROFITABLE,39,92.3,PROFITABLE
KXJBLEAGUEGAME,Sports > Other Sports,132,0,,N/A,6,100.0,PROFITABLE,12,100.0,PROFITABLE,114,75.4,NOT
KXJLEAGUEGAME,Sports > Soccer > Japan J League,24,0,,N/A,0,,N/A,2,100.0,PROFITABLE,22,86.4,NOT
KXJOBLESSCLAIMS,Economics > Employment & Fed,23,9,77.8,NOT,5,80.0,NOT,5,60.0,NOT,4,50.0,NOT
KXKBLGAME,Sports > Other Sports,47,0,,N/A,0,,N/A,0,,N/A,47,87.2,NOT
KXKHLGAME,Sports > Hockey > KHL,41,0,,N/A,0,,N/A,1,0.0,NOT,40,87.5,NOT
KXKIMMELMENTION,Mentions > Mentions,52,17,94.1,PROFITABLE,8,75.0,NOT,14,64.3,NOT,13,46.2,NOT
KXKLEAGUEGAME,Sports > Soccer > Korea K League,34,0,,N/A,2,100.0,PROFITABLE,2,0.0,NOT,30,66.7,NOT
KXLALIGAGAME,Sports > Soccer > La Liga,114,0,,N/A,0,,N/A,0,,N/A,114,87.7,NOT
KXLALIGATOTAL,Sports > Soccer > La Liga,49,0,,N/A,0,,N/A,0,,N/A,49,85.7,NOT
KXLATENIGHTMENTION,Mentions > Mentions,57,13,53.8,NOT,3,66.7,NOT,5,60.0,NOT,36,50.0,NOT
KXLEAVITTMENTIONDURATION,Mentions > Mentions,38,2,100.0,PROFITABLE,0,,N/A,14,42.9,NOT,22,27.3,NOT
KXLIGAMXGAME,Sports > Soccer > Liga MX,53,0,,N/A,0,,N/A,0,,N/A,53,83.0,NOT
KXLIGAPORTUGALGAME,Sports > Soccer > Liga Portugal,55,0,,N/A,0,,N/A,0,,N/A,55,85.5,NOT
KXLIGUE1GAME,Sports > Soccer > Ligue 1,57,0,,N/A,0,,N/A,0,,N/A,57,94.7,PROFITABLE
KXLIGUE1TOTAL,Sports > Soccer > Ligue 1,35,0,,N/A,0,,N/A,0,,N/A,35,85.7,NOT
KXLNBELITEGAME,Sports > Other Sports,72,0,,N/A,0,,N/A,0,,N/A,72,86.1,NOT
