ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-9A14468362A,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 25+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-8BD171155B3,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Mikal Bridges: 10+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-86A9D3A88A6,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-7FD00074B7C,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Mikal Bridges: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-77CF3C372D3,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Karl-Anthony Towns: 15+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-6DC83970D1B,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-69FB5DE23F2,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Mikal Bridges: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-52B90CDCDD4,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Karl-Anthony Towns: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-4665AD413DE,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-45E5144A5CA,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 20+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
