Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXATPMATCH-26FEB08BARKOP-KOP,Will Vit Kopriva win the Barrena vs Kopriva : Round Of 32 match?,yes,100,YES,2026-02-10T02:03:27.610848Z,92,2026-02-10T02:03:27.610848Z,92,2026-02-10T02:07:17Z,3.8,229,CORRECT,1000
KXATPMATCH-26FEB08BARKOP-BAR,Will Alex Barrena win the Barrena vs Kopriva : Round Of 32 match?,no,0,NO,,,,,2026-02-10T02:07:17Z,,,,1000
KXATPMATCH-26FEB09PELETC-PEL,Will Andrea Pellegrino win the Pellegrino vs Etcheverry : Round Of 32 match?,no,0,NO,,,,,2026-02-09T23:22:31Z,,,,1000
KXATPMATCH-26FEB09PELETC-ETC,Will Tomas Martin Etcheverry win the Pellegrino vs Etcheverry : Round Of 32 match?,yes,100,YES,2026-02-09T21:57:28.420615Z,92,2026-02-09T23:07:15.822986Z,90,2026-02-09T23:22:31Z,15.2,915,CORRECT,1000
KXATPMATCH-26FEB08BUDMUN-MUN,Will Jaume Munar win the Budkov Kjaer vs Munar : Round Of 32 match?,yes,100,YES,2026-02-09T21:09:23.130121Z,90,2026-02-09T21:36:32.751795Z,91,2026-02-09T21:57:34Z,21.0,1261,CORRECT,1000
KXATPMATCH-26FEB08BUDMUN-BUD,Will Nicolai Budkov Kjaer win the Budkov Kjaer vs Munar : Round Of 32 match?,no,0,NO,,,,,2026-02-09T21:57:34Z,,,,1000
KXATPMATCH-26FEB09SVADAV-SVA,Will Zachary Svajda win the Svajda vs Davidovich Fokina : Round Of 32 match?,no,0,NO,,,,,2026-02-09T21:16:31Z,,,,1000
KXATPMATCH-26FEB09SVADAV-DAV,Will Alejandro Davidovich Fokina win the Svajda vs Davidovich Fokina : Round Of 32 match?,yes,100,YES,2026-02-09T21:07:31.343046Z,90,2026-02-09T21:08:01.983127Z,90,2026-02-09T21:16:31Z,8.5,509,CORRECT,1000
KXATPMATCH-26FEB09PAVVAN-VAN,Will Botic Van de Zandschulp win the Pavlovic vs Van de Zandschulp : Round Of 32 match?,yes,100,YES,2026-02-09T18:54:24.840057Z,90,2026-02-09T19:56:47.876551Z,93,2026-02-09T20:21:53Z,25.1,1505,CORRECT,932
KXATPMATCH-26FEB09PAVVAN-PAV,Will Luka Pavlovic win the Pavlovic vs Van de Zandschulp : Round Of 32 match?,no,0,NO,,,,,2026-02-09T20:21:53Z,,,,1000
KXATPMATCH-26FEB09MIDMAR-MID,Will Lautaro Midon win the Midon vs Martinez : Round Of 32 match?,no,0,NO,,,,,2026-02-09T19:21:55Z,,,,1000
KXATPMATCH-26FEB09MIDMAR-MAR,Will Pedro Martinez win the Midon vs Martinez : Round Of 32 match?,yes,100,YES,2026-02-09T18:48:46.431712Z,90,2026-02-09T19:00:33.935109Z,93,2026-02-09T19:21:55Z,21.4,1281,CORRECT,1000
KXATPMATCH-26FEB09NAKBEL-NAK,Will Brandon Nakashima win the Nakashima vs Bellucci : Round Of 32 match?,yes,100,YES,2026-02-09T18:28:33.54911Z,90,2026-02-09T19:14:31.212291Z,90,2026-02-09T19:21:43Z,7.2,431,CORRECT,1000
KXATPMATCH-26FEB09NAKBEL-BEL,Will Mattia Bellucci win the Nakashima vs Bellucci : Round Of 32 match?,no,0,NO,,,,,2026-02-09T19:21:43Z,,,,1000
