sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Sports > Hockey > NHL,KXNHLTOTAL,12-24h,90-92¢,7,7,0,100.0,9.14,64.0,yes,KXNHLTOTAL-26FEB05NSHWSH-3|KXNHLTOTAL-26FEB05PITBUF-3|KXNHLTOTAL-26FEB04BOSFLA-3|KXNHLTOTAL-26FEB03SEAANA-3|KXNHLTOTAL-26FEB03OTTCAR-3
Sports > Basketball > NBA,KXNBAREB,0-1h,90-92¢,7,7,0,100.0,9.0,63.0,yes,KXNBAREB-26FEB11SASGSW-GSWDGREEN23-6|KXNBAREB-26FEB11SASGSW-GSWDGREEN23-10|KXNBAREB-26FEB11NYKPHI-NYKKTOWNS32-10|KXNBAREB-26FEB11NYKPHI-NYKJHART3-6|KXNBAREB-26FEB11LACHOU-LACKLEONARD2-7
Climate and Weather > Temperature,KXLOWTCHI,12-24h,93-95¢,9,9,0,100.0,6.89,62.0,yes,KXLOWTCHI-26FEB09-B22.5|KXLOWTCHI-26FEB08-B19.5|KXLOWTCHI-26FEB05-B16.5|KXLOWTCHI-26FEB01-B11.5|KXLOWTCHI-26JAN31-T11
Sports > Soccer > Liga MX,KXLIGAMXGAME,0-1h,93-95¢,9,9,0,100.0,6.78,61.0,yes,KXLIGAMXGAME-26JAN18PACAME-TIE|KXLIGAMXGAME-26JAN18PUMLEO-TIE|KXLIGAMXGAME-26JAN17CRAPUE-CRA|KXLIGAMXGAME-26JAN13PACLEO-PAC|KXLIGAMXGAME-26JAN10MONTOL-TOL
Sports > Soccer > MLS,KXMLSGAME,1-3h,90-92¢,16,15,1,93.8,3.75,60.0,yes,KXMLSGAME-25NOV29SDVAN-VAN|KXMLSGAME-25NOV22VANLAFC-VAN|KXMLSGAME-25NOV09SDPOR-SD|KXMLSGAME-25NOV08MIANSH-MIA|KXMLSGAME-25NOV07CLTNYC-NYC
Sports > Soccer > La Liga,KXLALIGAGAME,1-3h,90-92¢,6,6,0,100.0,10.0,60.0,yes,KXLALIGAGAME-26FEB08ATHLEV-ATH|KXLALIGAGAME-26FEB07RSOELC-RSO|KXLALIGAGAME-26FEB07BARMAL-BAR|KXLALIGAGAME-26JAN31ELCBAR-BAR|KXLALIGAGAME-26JAN25ATMMAL-ATM
Sports > Football > NCAA Football,KXNCAAFGAME,0-1h,93-95¢,10,10,0,100.0,6.0,60.0,yes,KXNCAAFGAME-26JAN08MIAMISS-MIA|KXNCAAFGAME-25DEC30USCTCU-TCU|KXNCAAFGAME-25DEC30CCARLT-LT|KXNCAAFGAME-25DEC30TENNILL-ILL|KXNCAAFGAME-25DEC27LSUHOU-HOU
Mentions > Mentions,KXNBAMENTION,24h+,90-92¢,28,26,2,92.9,2.14,60.0,yes,KXNBAMENTION-26FEB11SASLAL-CRYP|KXNBAMENTION-26FEB10LACHOU-TOYO|KXNBAMENTION-26FEB11SASLAL-TRAD|KXNBAMENTION-26FEB11SASLAL-INJU|KXNBAMENTION-26FEB11SASLAL-CROW
Climate and Weather > Temperature,KXLOWTMIA,12-24h,93-95¢,9,9,0,100.0,6.44,58.0,yes,KXLOWTMIA-26FEB09-B54.5|KXLOWTMIA-26FEB08-B53.5|KXLOWTMIA-26FEB07-B51.5|KXLOWTMIA-26JAN30-B58.5|KXLOWTMIA-26JAN28-B49.5
Climate and Weather > Precipitation,KXRAINSEA,6-12h,90-92¢,6,6,0,100.0,9.67,58.0,yes,RAINSEA-22MAY15-T0.2|RAINSEA-22MAY10-T0|RAINSEA-22APR01-T0|RAINSEA-22MAR22-T0|RAINSEA-22MAR21-T0.2
Sports > Golf > PGA,KXPGARYDERMATCH,0-1h,90-92¢,6,6,0,100.0,9.67,58.0,yes,KXPGARYDERMATCH-25SEP28ABECAN-EUR|KXPGARYDERMATCH-25SEP28MCISCH-USA|KXPGARYDERMATCH-25SEP28STRSPA-USA|KXPGARYDERMATCH-25SEP28HOJGRI-USA|KXPGARYDERMATCH-25SEP27RMSLJTCY-RMSL
Sports > Basketball > NBA,KXNBAGAME,1-3h,93-95¢,9,9,0,100.0,6.33,57.0,yes,KXNBAGAME-26FEB11WASCLE-CLE|KXNBAGAME-26FEB09PHIPOR-POR|KXNBAGAME-26FEB07DALSAS-SAS|KXNBAGAME-26FEB06NYKDET-DET|KXNBAGAME-26FEB04CLELAC-CLE
Mentions > Mentions,KXNFLMENTION,0-1h,90-92¢,6,6,0,100.0,9.5,57.0,yes,KXNFLMENTION-SB26-WIND|KXNFLMENTION-SB26-TURF|KXNFLMENTION-SB26-TRAD|KXNFLMENTION-SB26-SCHE|KXNFLMENTION-SB26-LEGI
Economics > Inflation,KXCPIGAS,24h+,90-92¢,17,16,1,94.1,3.29,56.0,yes,KXCPIGAS-25JAN-T0|KXCPIGAS-25JAN-T-4|KXCPIGAS-25JAN-T-3|KXCPIGAS-24NOV-T-0.9|KXCPIGAS-24DEC-T2
