sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Economics > Inflation,KXCPIAPPAREL,24h+,90-92¢,3,2,1,66.7,-24.0,-72.0,no,KXCPIAPPAREL-25JAN-T-0.5|CPIAPPAREL-24JUN-T-0.5|CPIAPPAREL-24MAY-T-0.8
Sports > Basketball > NBA,KXWNBAGAME,24h+,90-92¢,3,2,1,66.7,-24.0,-72.0,no,KXWNBAGAME-25AUG29DALATL-ATL|KXWNBAGAME-25AUG25CONNNY-NY|KXWNBAGAME-25AUG21CHINY-NY
Sports > Football > NFL,KXNFLPASSTDS,0-1h,96-98¢,11,10,1,90.9,-6.55,-72.0,no,KXNFLPASSTDS-26JAN25NEDEN-DENJSTIDHAM8-1|KXNFLPASSTDS-26JAN18HOUNE-NEDMAYE10-1|KXNFLPASSTDS-26JAN18HOUNE-HOUCSTROUD7-1|KXNFLPASSTDS-26JAN10GBCHI-GBJLOVE10-3|KXNFLPASSTDS-26JAN10GBCHI-GBJLOVE10-1
Entertainment > Apps,KXAPPRANKFREE2,12-24h,90-92¢,3,2,1,66.7,-24.0,-72.0,no,KXAPPRANKFREE2-25NOV08-THR|KXAPPRANKFREE2-25OCT23-CHA|KXAPPRANKFREE2-25OCT21-CHA
Sports > Motorsport > Formula 1,KXF1RACEPODIUM,3-6h,90-92¢,3,2,1,66.7,-24.0,-72.0,no,KXF1RACEPODIUM-ABUDGP25-NOR|KXF1RACEPODIUM-SAOPGP25-PIA|KXF1RACEPODIUM-GRAPDM25-VER
Climate and Weather > Temperature,KXHIGHPHIL,6-12h,90-92¢,14,12,2,85.7,-5.14,-72.0,no,KXHIGHPHIL-26FEB10-B39.5|KXHIGHPHIL-26FEB09-B31.5|KXHIGHPHIL-26FEB08-B20.5|KXHIGHPHIL-26FEB06-B32.5|KXHIGHPHIL-26JAN31-B24.5
Sports > Tennis > ATP,KXATPMATCH,6-12h,90-92¢,3,2,1,66.7,-24.33,-73.0,no,KXATPMATCH-26FEB06KYPSAN-KYP|KXATPMATCH-26FEB06FINBOY-BOY|KXATPMATCH-26FEB06SVAGEO-SVA
Sports > Soccer > Serie A,KXSERIEATOTAL,3-6h,90-92¢,3,2,1,66.7,-24.33,-73.0,no,KXSERIEATOTAL-26JAN25SASCRE-1|KXSERIEATOTAL-26JAN11LECPAR-2|KXSERIEATOTAL-26JAN11LECPAR-1
Sports > Soccer > AFCON,KXAFCONGAME,0-1h,93-95¢,4,3,1,75.0,-18.25,-73.0,no,KXAFCONGAME-26JAN10EGYCIV-EGY|KXAFCONGAME-26JAN10DZANGR-NGR|KXAFCONGAME-26JAN09MLISEN-SEN|KXAFCONGAME-25DEC27UGATAN-TAN
Sports > Soccer > La Liga,KXLALIGATOTAL,3-6h,90-92¢,3,2,1,66.7,-24.67,-74.0,no,KXLALIGATOTAL-26JAN11RVCMAL-2|KXLALIGATOTAL-26JAN11RVCMAL-1|KXLALIGATOTAL-26JAN10GIROSA-1
Economics > Inflation,KXPCECORE,24h+,96-98¢,8,7,1,87.5,-9.25,-74.0,no,KXPCECORE-25NOV-T0.1|KXPCECORE-25AUG-T0.1|KXPCECORE-25MAY-T0.0|KXPCECORE-25MAR-T0.0|KXPCECORE-25FEB-T0.0
Sports > Tennis > French Open Men's Singles,KXFOMEN,12-24h,93-95¢,4,3,1,75.0,-18.5,-74.0,no,KXFOMEN-25MUSNAV-MUS|KXFOMEN-25RUURAM-RUU|KXFOMEN-25MULMEN-MEN|KXFOMEN-25HURFON-HUR
Sports > Soccer > UEFA Champions League,KXUCLSPREAD,1-3h,93-95¢,4,3,1,75.0,-18.5,-74.0,no,KXUCLSPREAD-26JAN28LFCQAR-LFC1|KXUCLSPREAD-26JAN21SLABAR-BAR2|KXUCLSPREAD-26JAN21SLABAR-BAR1|KXUCLSPREAD-26JAN20RMAASM-RMA1
Sports > Tennis > ATP,KXATPMATCH,1-3h,93-95¢,4,3,1,75.0,-18.5,-74.0,no,KXATPMATCH-26FEB11BOOWAW-WAW|KXATPMATCH-26FEB08UGOCOM-UGO|KXATPMATCH-26FEB07KYPSAK-KYP|KXATPMATCH-26FEB07COPBOO-COP
Sports > Hockey > NHL,KXNHLSPREAD,1-3h,93-95¢,4,3,1,75.0,-18.5,-74.0,no,KXNHLSPREAD-26FEB05NSHWSH-WSH1|KXNHLSPREAD-26FEB04DETUTA-UTA1|KXNHLSPREAD-26FEB04BOSFLA-BOS1|KXNHLSPREAD-26FEB02VANUTA-UTA2
Sports > Soccer > Eredivisie,KXEREDIVISIEGAME,1-3h,90-92¢,13,11,2,84.6,-5.69,-74.0,no,KXEREDIVISIEGAME-26FEB07TWEHEE-TWE|KXEREDIVISIEGAME-26FEB06BREEXC-EXC|KXEREDIVISIEGAME-26FEB01PSVFEY-PSV|KXEREDIVISIEGAME-26FEB01HERFOR-HER|KXEREDIVISIEGAME-26FEB01EXCAJA-AJA
Sports > Basketball > NBA,KXNBASTL,1-3h,90-92¢,3,2,1,66.7,-24.67,-74.0,no,KXNBASTL-26FEB11OKCPHX-OKCJWILLIAMS8-2|KXNBASTL-26FEB11DETTOR-TORSBARNES4-2|KXNBASTL-26FEB09ATLMIN-MINAEDWARDS5-2
Sports > Esports > Call of Duty,KXCODGAME,1-3h,93-95¢,4,3,1,75.0,-18.5,-74.0,no,KXCODGAME-26JAN30VANCRR-CRR|KXCODGAME-26JAN18LATTEX-LAT|KXCODGAME-25DEC05FAZLAT-LAT|KXCODGAME-25DEC06MHTOR-TOR
Mentions > Mentions,KXNFLMENTION,3-6h,96-98¢,10,9,1,90.0,-7.5,-75.0,no,KXNFLMENTION-26NFCAFC-WIND|KXNFLMENTION-26NFCAFC-VETE|KXNFLMENTION-26NFCAFC-ONE|KXNFLMENTION-26NFCAFC-NO|KXNFLMENTION-NFLNFCCHAMP-FINE
Economics > Inflation,KXCPIGAS,24h+,96-98¢,8,7,1,87.5,-9.38,-75.0,no,KXCPIGAS-24DEC-T-2|KXCPIGAS-24DEC-T1|KXCPIGAS-24DEC-T0|CPIGAS-24JUL-T-3.8|CPIGAS-24APR-T3
Sports > Tennis > United Cup,KXUNITEDCUPMATCH,24h+,93-95¢,4,3,1,75.0,-18.75,-75.0,no,KXUNITEDCUPMATCH-26JAN06DEMEN-DE|KXUNITEDCUPMATCH-26JAN04KREHEL-KRE|KXUNITEDCUPMATCH-26JAN04AUGZHA-AUG|KXUNITEDCUPMATCH-26JAN03JOIHEL-JOI
Sports > Soccer > AFCON,KXAFCONADVANCE,0-1h,93-95¢,4,3,1,75.0,-18.75,-75.0,no,KXAFCONADVANCE-26JAN18SENMAR-SEN|KXAFCONADVANCE-26JAN14NGRMAR-NGR|KXAFCONADVANCE-26JAN14NGRMAR-MAR|KXAFCONADVANCE-26JAN06DZACOD-DZA
Sports > Tennis > ATP Italian Open,KXATPIT,1-3h,93-95¢,4,3,1,75.0,-18.75,-75.0,no,KXATPIT-25SINRUU-RUU|KXATPIT-25MUSNAK-MUS|KXATPIT-25CERJAR-CER|KXATPIT-25MARHUR-HUR
Sports > Soccer > La Liga,KXLALIGASPREAD,0-1h,93-95¢,4,3,1,75.0,-19.25,-77.0,no,KXLALIGASPREAD-26JAN24RVCOSA-OSA1|KXLALIGASPREAD-26JAN18RCCRVC-RCC2|KXLALIGASPREAD-26JAN17MALATH-MAL1|KXLALIGASPREAD-26JAN17RBBVIL-RBB1
Sports > Football > NFL,KXNFLTOTAL,0-1h,93-95¢,4,3,1,75.0,-19.25,-77.0,no,KXNFLTOTAL-26FEB08SEANE-31|KXNFLTOTAL-26JAN18HOUNE-47|KXNFLTOTAL-26JAN17BUFDEN-59|KXNFLTOTAL-26JAN11BUFJAC-48
Sports > Tennis > French Open Women's Singles,KXFOWOMEN,12-24h,93-95¢,4,3,1,75.0,-19.25,-77.0,no,KXFOWOMEN-25SABTEI-SAB|KXFOWOMEN-25COLBUR-COL|KXFOWOMEN-25RUSOSO-OSO|KXFOWOMEN-25SRASWI-SWI
Financials > Stock Indices,KXINXZ,1-3h,93-95¢,4,3,1,75.0,-19.25,-77.0,no,INXZ-24MAR04-T5137.08|INXZ-23DEC08-T4585.59|INXZ-23DEC01-T4567.80|INXZ-23AUG28-T4405.71
Politics > Approval Ratings,KX538APPROVEMIN,24h+,96-98¢,7,6,1,85.7,-11.0,-77.0,no,538APPROVEMIN-24APR30-T38|538APPROVEMIN-23NOV30-T39|538APPROVEMIN-23OCT31-T40|538APPROVEMIN-23OCT31-T39|538APPROVEMIN-23JUN30-T41
Sports > Football > NFL,KXNFLRECYDS,24h+,96-98¢,6,5,1,83.3,-13.0,-78.0,no,KXNFLRECYDS-26FEB08SEANE-NEDDOUGLAS3-20|KXNFLRECYDS-26FEB08SEANE-SEAGHOLANI36-20|KXNFLRECYDS-26FEB08SEANE-SEARSHAHEED22-20|KXNFLRECYDS-26FEB08SEANE-NEKBOUTTE9-20|KXNFLRECYDS-26JAN25LASEA-LAKWILLIAMS23-20
Sports > Esports > League of Legends,KXLOLTOTALMAPS,3-6h,93-95¢,4,3,1,75.0,-19.5,-78.0,no,KXLOLTOTALMAPS-26FEB09T1ADRXC-4|KXLOLTOTALMAPS-26JAN30KTNS-4|KXLOLTOTALMAPS-26JAN26DKCT1A-5|KXLOLTOTALMAPS-26JAN23DRXNS-3
Sports > Cricket > T20,KXCRICKETT20IMATCH,3-6h,93-95¢,4,3,1,75.0,-19.5,-78.0,no,KXCRICKETT20IMATCH-26JAN21NZIND-IND|KXCRICKETT20IMATCH-26JAN07PAKSRI-PAK|KXCRICKETT20IMATCH-25DEC09SAIND-IND|KXCRICKETT20IMATCH-25DEC08RWASIE-SIE
Sports > Other Sports,KXARGLNBGAME,1-3h,93-95¢,3,2,1,66.7,-26.33,-79.0,no,KXARGLNBGAME-26JAN26RACOBR-OBR|KXARGLNBGAME-26JAN19SLAUNI-SLA|KXARGLNBGAME-26JAN08ACCARJ-ACC
Sports > Esports > League of Legends,KXLOLGAMES,6-12h,93-95¢,3,2,1,66.7,-26.33,-79.0,no,KXLOLGAMES-GENT125-GEN|KXLOLGAMES-FLYT125-T1|KXLOLGAMES-KTRKOI25-KOI
Sports > Football > NFL,KXNFLPREPACKSGP,1-3h,90-92¢,13,11,2,84.6,-6.08,-79.0,no,KXNFLPREPACKSGP-26FEB08SEANESPREAD-SEAU45|KXNFLPREPACKSGP-26JAN04INDHOU-HOUO39|KXNFLPREPACKSGP-26JAN04WASPHI-WASU42|KXNFLPREPACKSGP-26JAN04KCLV-LVU35|KXNFLPREPACKSGP-26JAN04GBMIN-MINU36
Climate and Weather > Temperature,KXHIGHPHIL,12-24h,93-95¢,3,2,1,66.7,-26.33,-79.0,no,KXHIGHPHIL-26FEB07-B31.5|KXHIGHPHIL-26FEB07-B29.5|KXHIGHPHIL-26JAN22-T50
Sports > Football > NFL,KXNFLTEAMTOTAL,0-1h,90-92¢,12,10,2,83.3,-6.67,-80.0,no,KXNFLTEAMTOTAL-26FEB08SEANE-SEA31|KXNFLTEAMTOTAL-26FEB08SEANE-SEA28|KXNFLTEAMTOTAL-26FEB08SEANE-SEA19|KXNFLTEAMTOTAL-26FEB08SEANE-NE8|KXNFLTEAMTOTAL-26FEB08SEANE-NE11
Sports > Soccer > Club World Cup,KXCLUBWCGAME,0-1h,96-98¢,6,5,1,83.3,-13.33,-80.0,no,KXCLUBWCGAME-25JUN25MAMFLU-TIE|KXCLUBWCGAME-25JUN24LAFCFLA-TIE|KXCLUBWCGAME-25JUN24LAFCFLA-LAFC|KXCLUBWCGAME-25JUN23ATMBOT-ATM|KXCLUBWCGAME-25JUN21RIVMON-TIE
Sports > Esports > Rainbow Six Siege,KXR6GAME,12-24h,93-95¢,3,2,1,66.7,-26.67,-80.0,no,KXR6GAME-26FEB06FXM80-M80|KXR6GAME-26FEB03ELVFLCS-FLCS|KXR6GAME-26JAN09PZPAN-PZ
Entertainment > Music charts,KXSPOTIFY2D,12-24h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXSPOTIFY2D-26FEB10-BAI|KXSPOTIFY2D-26FEB06-DTM
Economics > Employment & Fed,KXADP,24h+,93-95¢,3,2,1,66.7,-26.67,-80.0,no,KXADP-26JAN-T-25000|KXADP-25SEP-T0|KXADP-25JUL-T-100000
Entertainment > Movies,KXNETFLIXRANKSHOWRUNNERUP,12-24h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXNETFLIXRANKSHOWRUNNERUP-26JAN19-AGA|KXNETFLIXRANKSHOWRUNNERUP-26JAN05-RUN
Sports > Tennis > ATP,KXATPTOTALSETS,6-12h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXATPTOTALSETS-26JAN21MACTSI-4|KXATPTOTALSETS-26JAN20SHACIL-4
Sports > Other Sports,KXNBLGAME,3-6h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXNBLGAME-26FEB06BRITAS-TAS|KXNBLGAME-25DEC06CARILLA-ILLA
Entertainment > Music charts,KXSPOTIFYARTISTD,12-24h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXSPOTIFYARTISTD-26FEB03-BAD|KXSPOTIFYARTISTD-26JAN30-DRA
Sports > Basketball > NBA,KXNBA3PT,1-3h,96-98¢,7,6,1,85.7,-11.43,-80.0,no,KXNBA3PT-26FEB11SASGSW-SASVWEMBANYAMA1-2|KXNBA3PT-26FEB11NYKPHI-NYKJBRUNSON11-1|KXNBA3PT-26FEB11LACHOU-HOUKDURANT7-3|KXNBA3PT-26FEB11ATLCHA-CHALBALL1-6|KXNBA3PT-26FEB11CHIBOS-BOSPPRITCHARD11-2
Mentions > Mentions,KXNCAAMENTION,0-1h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXNCAAMENTION-26JAN09OREIND-WIND|KXNCAAMENTION-26JAN02WAKEMSST-HEIS
Sports > Soccer > Ligue 1,KXLIGUE1TOTAL,1-3h,90-92¢,13,11,2,84.6,-6.15,-80.0,no,KXLIGUE1TOTAL-26FEB01NICSTB-2|KXLIGUE1TOTAL-26JAN31PAROM-2|KXLIGUE1TOTAL-26JAN31ASMREN-3|KXLIGUE1TOTAL-26JAN25STBTFC-1|KXLIGUE1TOTAL-26JAN23AUXPSG-2
Entertainment > Other,KXTOPSONG,24h+,93-95¢,3,2,1,66.7,-26.67,-80.0,no,KXTOPSONG-25DEC13-ALL|KXTOPSONG-25DEC06-THE|KXTOPSONG-25NOV29-OPA
Sports > Esports > League of Legends,KXLOLGAME,0-1h,93-95¢,3,2,1,66.7,-26.67,-80.0,no,KXLOLGAME-26FEB02GXSK-GX|KXLOLGAME-26FEB02FNCKCB-KCB|KXLOLGAME-26JAN31LRMKOI-LR
Sports > Hockey > NCAA Hockey,KXNCAAHOCKEYGAME,3-6h,90-92¢,2,1,1,50.0,-40.0,-80.0,no,KXNCAAHOCKEYGAME-26FEB06NDWIS-WIS|KXNCAAHOCKEYGAME-26FEB02NEBU-BU
Economics > Energy Prices,KXAAAGASW,12-24h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXAAAGASW-25SEP08-3.190|AAAGASW-23DEC04-US-3.253
Sports > Esports > Valorant,KXVALORANTGAME,24h+,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXVALORANTGAME-26JAN28ULFTH-TH|KXVALORANTGAME-26JAN22TYLOOFPX-FPX
Financials > Stock Indices,KXINXZ,3-6h,90-92¢,23,20,3,87.0,-3.52,-81.0,no,INXZ-24MAR21-T5224.62|INXZ-24MAR01-T5096.27|INXZ-24FEB14-T4953.17|INXZ-24FEB12-T5026.61|INXZ-24FEB09-T4997.91
Sports > Basketball > NBA,KXNBAPTS,0-1h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXNBAPTS-26FEB11SASGSW-SASVWEMBANYAMA1-30|KXNBAPTS-26FEB11ATLCHA-CHALBALL1-20
Sports > Soccer > Eredivisie,KXEREDIVISIEGAME,0-1h,93-95¢,3,2,1,66.7,-27.0,-81.0,no,KXEREDIVISIEGAME-26JAN31SPAGRO-TIE|KXEREDIVISIEGAME-26JAN31SPAGRO-SPA|KXEREDIVISIEGAME-25DEC21FEYTWE-TIE
World > Flight Delays,KXFLIGHTJFK,12-24h,93-95¢,3,2,1,66.7,-27.0,-81.0,no,FLIGHTJFK-22AUG31-T600|FLIGHTJFK-22AUG06-T400|FLIGHTJFK-22JUL26-T400
Sports > Football > NFL,KXNFLPREPACK2ML,6-12h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXNFLPREPACK2ML-26JAN03TBCARSFSEAPITBAL-TBSEA|KXNFLPREPACK2ML-25DEC20WASPHICHIGB-PHIGB
Climate and Weather > Precipitation,KXRAINNYC,12-24h,93-95¢,3,2,1,66.7,-27.0,-81.0,no,KXRAINNYC-25DEC31-T0|KXRAINNYC-25DEC07-T0|KXRAINNYC-25NOV11-T0
Sports > Football > NCAA Football,KXNCAAFPREPACKSGP,3-6h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXNCAAFPREPACKSGP-25DEC19ALAOKLA-OKLAO40|KXNCAAFPREPACKSGP-25DEC20JMUORE-OREO47
Economics > Energy Prices,KXOILW,24h+,93-95¢,3,2,1,66.7,-27.0,-81.0,no,OIL-22MAY16-P110|OILW-22MAR07-T120|OILW-22MAR07-T100
Economics > Energy Prices,KXOILW,24h+,90-92¢,2,1,1,50.0,-40.5,-81.0,no,OIL-22AUG01-N95|OIL-22JUL18-P100
Sports > MMA > UFC,KXUFCFIGHT,6-12h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXUFCFIGHT-25NOV22SPIGAZ-GAZ|KXUFCFIGHT-25NOV15SUSMCC-SUS
Climate and Weather > Temperature,KXLOWTDEN,1-3h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXLOWTDEN-26JAN30-T20|KXLOWTDEN-26JAN18-B29.5
Entertainment > Apps,KXAPPRANKFREE,24h+,93-95¢,3,2,1,66.7,-27.0,-81.0,no,KXAPPRANKFREE-25NOV07-CHA|KXAPPRANKFREE-25SEP30-GOO|KXAPPRANKFREE-25SEP28-GOO
Climate and Weather > Temperature,KXLOWTNYC,1-3h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXLOWTNYC-26JAN26-B15.5|KXLOWTNYC-26JAN22-T34
Mentions > Mentions,KXCONGRESSMENTION,1-3h,90-92¢,2,1,1,50.0,-40.5,-81.0,no,KXCONGRESSMENTION-26FEB13-BILL|KXCONGRESSMENTION-26FEB13-BIDE
Sports > Soccer > Bundesliga,KXBUNDESLIGASPREAD,1-3h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXBUNDESLIGASPREAD-26FEB08BMUTSG-BMU1|KXBUNDESLIGASPREAD-26JAN24BMUFCA-BMU2|KXBUNDESLIGASPREAD-26JAN17RBLBMU-BMU1
Mentions > Mentions,KXMAMDANIMENTION,6-12h,90-92¢,2,1,1,50.0,-41.0,-82.0,no,KXMAMDANIMENTION-26FEB23-SAFE|KXMAMDANIMENTION-26FEB23-AFFO
Sports > Basketball > NBA,KXNBAAST,12-24h,90-92¢,2,1,1,50.0,-41.0,-82.0,no,KXNBAAST-26FEB11NYKPHI-NYKJHART3-4|KXNBAAST-26FEB10SASLAL-LALAREAVES15-6
Sports > Darts > Darts,KXDARTSMATCH,12-24h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXDARTSMATCH-26JAN01LLITKRAT-LLIT|KXDARTSMATCH-25DEC14REDHJTAT-REDH|KXDARTSMATCH-25DEC14REDHJTAT-JTAT
Economics > Inflation,KXCPISHELTER,24h+,96-98¢,6,5,1,83.3,-13.67,-82.0,no,KXCPISHELTER-25FEB-T0.3|KXCPISHELTER-24NOV-T0.1|CPISHELTER-24MAR-T0.2|CPISHELTER-24FEB-T0.2|CPISHELTER-24JAN-T0.2
Mentions > Mentions,KXLEAVITTLATE,3-6h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXLEAVITTLATE-25NOV13-2|KXLEAVITTLATE-25OCT01-7|KXLEAVITTLATE-25OCT01-10
Sports > Basketball > NBA,KXNBA3PT,0-1h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXNBA3PT-26FEB11SASGSW-SASDFOX4-4|KXNBA3PT-26FEB11ATLCHA-CHALBALL1-5|KXNBA3PT-26FEB11MILORL-ORLDBANE3-4
Climate and Weather > Precipitation,KXRAINSEA,1-3h,90-92¢,12,10,2,83.3,-6.83,-82.0,no,RAINSEA-22JUN04-T0.1|RAINSEA-22JUN01-T0|RAINSEA-22MAY24-T0|RAINSEA-22MAY06-T0.25|RAINSEA-22APR21-T0.08
Health > COVID-19,KXCASED,0-1h,90-92¢,2,1,1,50.0,-41.0,-82.0,no,"CASED-22JUN24-T125,000|CASED-22JAN13-T900"
Politics > Approval Ratings,KX538APPROVE,24h+,90-92¢,2,1,1,50.0,-41.0,-82.0,no,KX538APPROVE-25FEB26-T48.1|KX538APPROVE-24NOV06-T37.6
Mentions > Mentions,KXLEAVITTMENTIONDURATION,6-12h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXLEAVITTMENTIONDURATION-DEC1225-34|KXLEAVITTMENTIONDURATION-NOV1325-24|KXLEAVITTMENTIONDURATION-DEC3125-39
Mentions > Mentions,KXTRUMPMENTION,3-6h,93-95¢,3,2,1,66.7,-27.33,-82.0,no,KXTRUMPMENTION-26FEB11-BORD|KXTRUMPMENTION-26FEB03-BIDE|KXTRUMPMENTION-26JAN30-CRYP
Health > COVID-19,KXVAXX,12-24h,90-92¢,2,1,1,50.0,-41.0,-82.0,no,VAXX-22APR13-T256.4|VAXX-22APR06-T255.9
Sports > Other Sports,KXNBLGAME,0-1h,96-98¢,5,4,1,80.0,-16.6,-83.0,no,KXNBLGAME-26JAN25MELPER-MEL|KXNBLGAME-26JAN23A36NZB-A36|KXNBLGAME-26JAN22TASSYD-SYD|KXNBLGAME-26JAN21NZBSEM-NZB|KXNBLGAME-25DEC13SYDMEL-SYD
Sports > Other Sports,KXCBAGAME,1-3h,93-95¢,3,2,1,66.7,-27.67,-83.0,no,KXCBAGAME-26JAN29SHAZHE-ZHE|KXCBAGAME-26JAN22SBWXIN-SBW|KXCBAGAME-26JAN18XINSHAD-SHAD
Entertainment > Music charts,KXSPOTIFYALBUMW,24h+,93-95¢,3,2,1,66.7,-27.67,-83.0,no,KXSPOTIFYALBUMW-26JAN22-DON|KXSPOTIFYALBUMW-26JAN22-THEL|KXSPOTIFYALBUMW-25OCT30-THE
Economics > Inflation,KXARGINFLATIONM,24h+,96-98¢,7,6,1,85.7,-11.86,-83.0,no,KXARGINFLATIONM-25FEB-T75|ARGINFLATIONM-24SEP-T150|ARGINFLATIONM-24AUG-T225|ARGINFLATIONM-24MAY-T275|ARGINFLATIONM-24FEB-T200
Sports > Basketball > NBA,KXNBAAST,1-3h,90-92¢,2,1,1,50.0,-41.5,-83.0,no,KXNBAAST-26FEB11SASGSW-SASVWEMBANYAMA1-3|KXNBAAST-26FEB10SASLAL-SASDFOX4-10
Sports > Soccer > Liga Portugal,KXLIGAPORTUGALGAME,1-3h,90-92¢,12,10,2,83.3,-6.92,-83.0,no,KXLIGAPORTUGALGAME-26FEB08BRARAV-BRA|KXLIGAPORTUGALGAME-26FEB07AROVIT-VIT|KXLIGAPORTUGALGAME-26FEB07MORGIL-GIL|KXLIGAPORTUGALGAME-26FEB02AVSBRA-BRA|KXLIGAPORTUGALGAME-26JAN26FCPGIL-FCP
Sports > Football > NFL,KXNFLRECYDS,1-3h,96-98¢,5,4,1,80.0,-16.6,-83.0,no,KXNFLRECYDS-26JAN25LASEA-LACPARKINSON84-50|KXNFLRECYDS-26JAN25LASEA-LACPARKINSON84-10|KXNFLRECYDS-26JAN25NEDEN-NETHENDERSON32-20|KXNFLRECYDS-26JAN25NEDEN-DENRHARVEY12-10|KXNFLRECYDS-26JAN25LASEA-LADADAMS17-50
Sports > Tennis > WTA,KXWTAMATCH,6-12h,90-92¢,2,1,1,50.0,-41.5,-83.0,no,KXWTAMATCH-26FEB06FRECEN-FRE|KXWTAMATCH-26FEB06BAPHUN-BAP
Sports > Esports > Valorant,KXVALORANTGAME,0-1h,96-98¢,5,4,1,80.0,-16.8,-84.0,no,KXVALORANTGAME-26FEB07XLGAG-XLG|KXVALORANTGAME-26FEB05ZETATS-ZETA|KXVALORANTGAME-26FEB03FUTKC-KC|KXVALORANTGAME-26JAN29TSDFM-DFM|KXVALORANTGAME-26JAN25C9NV-C9
Sports > Esports > Valorant,KXVALORANTGAME,6-12h,93-95¢,3,2,1,66.7,-28.0,-84.0,no,KXVALORANTGAME-26JAN28WOLTEC-WOL|KXVALORANTGAME-26JAN25JDGDRG-DRG|KXVALORANTGAME-26JAN25AGBLG-AG
Politics > Other Politics,KXAPRPOTUS,6-12h,90-92¢,2,1,1,50.0,-42.0,-84.0,no,KXAPRPOTUS-25DEC05-42.55|KXAPRPOTUS-25SEP05-45.3
Transportation > Transportation,KXTSA,24h+,96-98¢,6,5,1,83.3,-14.0,-84.0,no,TSA-21OCT07-T1.9|TSA-21SEP24-T1.8|TSA-21SEP03-T1.7|TSA-21AUG22-T1.75|TSA-21AUG02-T2.124
Mentions > Mentions,KXTRUMPMENTION,0-1h,93-95¢,3,2,1,66.7,-28.0,-84.0,no,KXTRUMPMENTION-26FEB12-DRIL|KXTRUMPMENTION-26FEB12-WIND|KXTRUMPMENTION-26FEB12-TARI
Mentions > Mentions,KXCOLBERTMENTION,6-12h,93-95¢,3,2,1,66.7,-28.0,-84.0,no,KXCOLBERTMENTION-25DEC02-NEW|KXCOLBERTMENTION-25NOV21-CORP|KXCOLBERTMENTION-25NOV05-CAMP
Sports > Tennis > French Open Men's Singles,KXFOMEN,6-12h,96-98¢,6,5,1,83.3,-14.17,-85.0,no,KXFOMEN-25SHEQUI-QUI|KXFOMEN-25MUSGAL-MUS|KXFOMEN-25KOVGOM-KOV|KXFOMEN-25LLADAV-DAV|KXFOMEN-25GASBLA-GAS
Sports > MMA > UFC,KXUFCFIGHT,0-1h,96-98¢,5,4,1,80.0,-17.0,-85.0,no,KXUFCFIGHT-26JAN31TUITEI-TEI|KXUFCFIGHT-25DEC06MCKDUN-DUN|KXUFCFIGHT-25NOV22TSAHOO-TSA|KXUFCFIGHT-25NOV15SHEZHA-SHE|KXUFCFIGHT-25NOV15EDWPRA-EDW
Sports > Esports > Call of Duty,KXCODGAME,0-1h,96-98¢,4,3,1,75.0,-21.25,-85.0,no,KXCODGAME-26FEB01PARTEX-TEX|KXCODGAME-26FEB01PARTEX-PAR|KXCODGAME-26JAN30MHVAN-MH|KXCODGAME-26JAN17BOSMH-MH
Sports > Tennis > French Open Women's Singles,KXFOWOMEN,3-6h,93-95¢,3,2,1,66.7,-28.33,-85.0,no,KXFOWOMEN-25SAMZHE-SAM|KXFOWOMEN-25BONSVI-SVI|KXFOWOMEN-25STAPOT-STA
Mentions > Mentions,KXSTARMERMENTION,1-3h,96-98¢,5,4,1,80.0,-17.0,-85.0,no,KXSTARMERMENTION-25FEB27-KINGQUEEN|KXSTARMERMENTION-25FEB27-COMMONWEALTH|KXSTARMERMENTION-25FEB27-BBC|KXSTARMERMENTION-25FEB27-PUTIN|KXSTARMERMENTION-25FEB27-NATO
Sports > Cricket > T20,KXCRICKETT20IMATCH,1-3h,90-92¢,12,10,2,83.3,-7.08,-85.0,no,KXCRICKETT20IMATCH-26FEB03ENGSRI-SRI|KXCRICKETT20IMATCH-26JAN31NZIND-IND|KXCRICKETT20IMATCH-26JAN30ENGSRI-ENG|KXCRICKETT20IMATCH-26JAN28NZIND-NZ|KXCRICKETT20IMATCH-26JAN27WISA-SA
