Series Ticker,NO_API_DATA,VALID,NEGATIVE,OVER_100,MISSING_DATA,Total_Markets,Lost_Markets,Loss_Pct
KXNFLANYTD,18.0,0.0,0,0,0,18.0,18.0,100.0
KXVALORANTMAP,16.0,0.0,0,0,0,16.0,16.0,100.0
KXNFLPREPACK3ML,16.0,0.0,0,0,0,16.0,16.0,100.0
KXPGARYDERMATCH,15.0,0.0,0,0,0,15.0,15.0,100.0
KXNCAAMBGAME,15.0,0.0,0,0,0,15.0,15.0,100.0
KXTOPSONG,15.0,0.0,0,0,0,15.0,15.0,100.0
KXTSAW,13.0,0.0,0,0,0,13.0,13.0,100.0
KXNCAAHOCKEYGAME,13.0,0.0,0,0,0,13.0,13.0,100.0
KXSHLGAME,13.0,0.0,0,0,0,13.0,13.0,100.0
KXSERIEASPREAD,12.0,0.0,0,0,0,12.0,12.0,100.0
KXNFL2TD,12.0,0.0,0,0,0,12.0,12.0,100.0
KXWTAMAD,11.0,0.0,0,0,0,11.0,11.0,100.0
KXT20MATCH,11.0,0.0,0,0,0,11.0,11.0,100.0
KXWOWHOCKEY,11.0,0.0,0,0,0,11.0,11.0,100.0
KXWTIW,9.0,0.0,0,0,0,9.0,9.0,100.0
KXNBAPTS,9.0,0.0,0,0,0,9.0,9.0,100.0
KXR6MAP,9.0,0.0,0,0,0,9.0,9.0,100.0
KXRAINNY,9.0,0.0,0,0,0,9.0,9.0,100.0
KXNBA2D,8.0,0.0,0,0,0,8.0,8.0,100.0
KXTOPALBUM,7.0,0.0,0,0,0,7.0,7.0,100.0
KXWOCURLGAME,7.0,0.0,0,0,0,7.0,7.0,100.0
KXNBA3D,6.0,0.0,0,0,0,6.0,6.0,100.0
KXTSA,6.0,0.0,0,0,0,6.0,6.0,100.0
KXRANKLISTSONGTOP10,6.0,0.0,0,0,0,6.0,6.0,100.0
KXNBA3PT,5.0,0.0,0,0,0,5.0,5.0,100.0
KXUFCMOF,5.0,0.0,0,0,0,5.0,5.0,100.0
KXPICKLEBALL,5.0,0.0,0,0,0,5.0,5.0,100.0
KXSURVIVORELIMINATION,4.0,0.0,0,0,0,4.0,4.0,100.0
KXWTAMOA,4.0,0.0,0,0,0,4.0,4.0,100.0
KXSPOTIFYALBUMW,4.0,0.0,0,0,0,4.0,4.0,100.0
KXNHLGOAL,3.0,0.0,0,0,0,3.0,3.0,100.0
KXSPOTIFYD,2.0,0.0,0,0,0,2.0,2.0,100.0
KXOILW,2.0,0.0,0,0,0,2.0,2.0,100.0
KXNBABLK,2.0,0.0,0,0,0,2.0,2.0,100.0
KXTNOTEW,1.0,0.0,0,0,0,1.0,1.0,100.0
KXPICKLEBALLGAMES,1.0,0.0,0,0,0,1.0,1.0,100.0
KXMLSGAME,0.0,63.0,0,0,0,63.0,0.0,0.0
KXMLBSPREAD,0.0,40.0,0,0,0,40.0,0.0,0.0
KXMLBGAME,0.0,65.0,0,0,0,65.0,0.0,0.0
KXMAMDANIMENTION,0.0,87.0,0,0,0,87.0,0.0,0.0
KXLOWTPHIL,0.0,22.0,0,0,0,22.0,0.0,0.0
KXNFLREC,0.0,89.0,0,0,0,89.0,0.0,0.0
KXNFLRECYDS,0.0,80.0,0,0,0,80.0,0.0,0.0
KXLOWTNYC,0.0,42.0,0,0,0,42.0,0.0,0.0
KXNFLRSHYDS,0.0,126.0,0,0,0,126.0,0.0,0.0
KXLOWTMIA,0.0,28.0,0,0,0,28.0,0.0,0.0
KXMLBTOTAL,0.0,20.0,0,0,0,20.0,0.0,0.0
KXMRBEASTMENTION,0.0,90.0,0,0,0,90.0,0.0,0.0
KXMTA,0.0,16.0,0,0,0,16.0,0.0,0.0
KXNFLPREPACK,0.0,21.0,0,0,0,21.0,0.0,0.0
KXNBAAST,0.0,5.0,0,0,0,5.0,0.0,0.0
KXNBAGAME,0.0,32.0,0,0,0,32.0,0.0,0.0
KXNBAREB,0.0,10.0,0,0,0,10.0,0.0,0.0
KXNBASTL,0.0,5.0,0,0,0,5.0,0.0,0.0
KXNBLGAME,0.0,63.0,0,0,0,63.0,0.0,0.0
KXNCAAFPREPACKSGP,0.0,11.0,0,0,0,11.0,0.0,0.0
KXNETFLIXRANKMOVIE,0.0,18.0,0,0,0,18.0,0.0,0.0
KXNETFLIXRANKMOVIERUNNERUP,0.0,11.0,0,0,0,11.0,0.0,0.0
KXNETFLIXRANKSHOW,0.0,12.0,0,0,0,12.0,0.0,0.0
KXNETFLIXRANKSHOWRUNNERUP,0.0,14.0,0,0,0,14.0,0.0,0.0
KXNASDAQ100Z,0.0,27.0,0,0,0,27.0,0.0,0.0
KXARGPREMDIVGAME,0.0,60.0,0,0,0,60.0,0.0,0.0
KXBUNDESLIGATOTAL,0.0,52.0,0,0,0,52.0,0.0,0.0
KXCASED,0.0,46.0,0,0,0,46.0,0.0,0.0
KXCASEW,0.0,14.0,0,0,0,14.0,0.0,0.0
KXCBAGAME,0.0,108.0,0,0,0,108.0,0.0,0.0
KXCFPSEED,0.0,7.0,0,0,0,7.0,0.0,0.0
KXCLUBWCGAME,0.0,44.0,0,0,0,44.0,0.0,0.0
KXCODGAME,0.0,35.0,0,0,0,35.0,0.0,0.0
KXCOLBERTMENTION,0.0,51.0,0,0,0,51.0,0.0,0.0
KXCONGRESSMENTION,0.0,107.0,0,0,0,107.0,0.0,0.0
KXCOPADELREYADVANCE,0.0,17.0,0,0,0,17.0,0.0,0.0
KXUCLSPREAD,0.0,12.0,0,0,0,12.0,0.0,0.0
KXCOPPAITALIAGAME,0.0,11.0,0,0,0,11.0,0.0,0.0
KXCOUPEDEFRANCEGAME,0.0,38.0,0,0,0,38.0,0.0,0.0
KXCPI,0.0,30.0,0,0,0,30.0,0.0,0.0
KXCPIAPPAREL,0.0,3.0,0,0,0,3.0,0.0,0.0
KXCPICORE,0.0,30.0,0,0,0,30.0,0.0,0.0
KXCPICOREYOY,0.0,38.0,0,0,0,38.0,0.0,0.0
KXCPIFOOD,0.0,10.0,0,0,0,10.0,0.0,0.0
KXCPIGAS,0.0,18.0,0,0,0,18.0,0.0,0.0
KXCPISHELTER,0.0,8.0,0,0,0,8.0,0.0,0.0
KXCPIUSEDCAR,0.0,13.0,0,0,0,13.0,0.0,0.0
KXCPIYOY,0.0,56.0,0,0,0,56.0,0.0,0.0
KXCRICKETODIMATCH,0.0,7.0,0,0,0,7.0,0.0,0.0
KXCOPADELREYGAME,0.0,32.0,0,0,0,32.0,0.0,0.0
KXNFLTOTAL,0.0,78.0,0,0,0,78.0,0.0,0.0
KXNHLGAME,0.0,75.0,0,0,0,75.0,0.0,0.0
KXNHLTOTAL,0.0,85.0,0,0,0,85.0,0.0,0.0
KXPAYROLLS,0.0,11.0,0,0,0,11.0,0.0,0.0
KXPCECORE,0.0,8.0,0,0,0,8.0,0.0,0.0
KXPPLGAMES,0.0,4.0,0,0,0,4.0,0.0,0.0
KXRAINNYC,0.0,34.0,0,0,0,34.0,0.0,0.0
KXRAINSEA,0.0,45.0,0,0,0,45.0,0.0,0.0
KXTRUMPMENTION,0.0,66.0,0,0,0,66.0,0.0,0.0
KXLOWTLAX,0.0,21.0,0,0,0,21.0,0.0,0.0
KXARGINFLATIONM,0.0,5.0,0,0,0,5.0,0.0,0.0
KXUECLGAME,0.0,63.0,0,0,0,63.0,0.0,0.0
KXBUNDESLIGAGAME,0.0,58.0,0,0,0,58.0,0.0,0.0
KXUNRIVALEDGAME,0.0,12.0,0,0,0,12.0,0.0,0.0
KXWOLUGE,0.0,6.0,0,0,0,6.0,0.0,0.0
KXWOSSKATE,0.0,3.0,0,0,0,3.0,0.0,0.0
KXWTAIT,0.0,19.0,0,0,0,19.0,0.0,0.0
KXWTAMIA,0.0,6.0,0,0,0,6.0,0.0,0.0
KXASYLUMCASES,0.0,8.0,0,0,0,8.0,0.0,0.0
KXBILLBOARDRUNNERUPALBUM,0.0,9.0,0,0,0,9.0,0.0,0.0
KXBILLBOARDRUNNERUPSONG,0.0,22.0,0,0,0,22.0,0.0,0.0
KXBOOSTER,0.0,18.0,0,0,0,18.0,0.0,0.0
KXBOXING,0.0,6.0,0,0,0,6.0,0.0,0.0
KXBRASILEIROGAME,0.0,73.0,0,0,0,73.0,0.0,0.0
KXBTC15M,0.0,110.0,0,0,0,110.0,0.0,0.0
KXUELGAME,0.0,58.0,0,0,0,58.0,0.0,0.0
KXSPOTIFYGLOBALD,0.0,1.0,0,0,0,1.0,0.0,0.0
KXSPOTIFYW,0.0,1.0,0,0,0,1.0,0.0,0.0
KXSTARMERMENTION,0.0,51.0,0,0,0,51.0,0.0,0.0
KXSURVIVORMENTION,0.0,62.0,0,0,0,62.0,0.0,0.0
KXTACAPORTGAME,0.0,13.0,0,0,0,13.0,0.0,0.0
KXTENNISEXHIBITION,0.0,6.0,0,0,0,6.0,0.0,0.0
KXTNOTE,0.0,17.0,0,0,0,17.0,0.0,0.0
KXTOPMODEL,0.0,11.0,0,0,0,11.0,0.0,0.0
KXARGLNBGAME,0.0,25.0,0,0,0,25.0,0.0,0.0
KXCS2GAME,0.0,130.0,0,0,0,130.0,0.0,0.0
KXCS2MAP,0.0,54.0,0,0,0,54.0,0.0,0.0
KXCS2TOTALMAPS,0.0,24.0,0,0,0,24.0,0.0,0.0
KXCSGOGAME,0.0,166.0,0,0,0,166.0,0.0,0.0
KXDARTSMATCH,0.0,20.0,0,0,0,20.0,0.0,0.0
KXDFBPOKALGAME,0.0,10.0,0,0,0,10.0,0.0,0.0
KXLIGUE1TOTAL,0.0,35.0,0,0,0,35.0,0.0,0.0
KXF1RACEPODIUM,0.0,32.0,0,0,0,32.0,0.0,0.0
KXF1RACE,0.0,20.0,0,0,0,20.0,0.0,0.0
KXEURUSD,0.0,2.0,0,0,0,2.0,0.0,0.0
KXEUROLEAGUEGAME,0.0,178.0,0,0,0,178.0,0.0,0.0
KXEUROIMF,0.0,9.0,0,0,0,9.0,0.0,0.0
KXEUROCUPGAME,0.0,85.0,0,0,0,85.0,0.0,0.0
KXEURO,0.0,6.0,0,0,0,6.0,0.0,0.0
KXDGAAWARDS,0.0,4.0,0,0,0,4.0,0.0,0.0
KXEREDIVISIEGAME,0.0,67.0,0,0,0,67.0,0.0,0.0
KXEPLTOTAL,0.0,79.0,0,0,0,79.0,0.0,0.0
KXEPLSPREAD,0.0,10.0,0,0,0,10.0,0.0,0.0
KXEPLGAME,0.0,46.0,0,0,0,46.0,0.0,0.0
KXEKSTRAKLASAGAME,0.0,42.0,0,0,0,42.0,0.0,0.0
KXEFLCUPGAME,0.0,14.0,0,0,0,14.0,0.0,0.0
KXEFLCHAMPIONSHIPGAME,0.0,64.0,0,0,0,64.0,0.0,0.0
KXDOTA2GAME,0.0,116.0,0,0,0,116.0,0.0,0.0
KXETH15M,0.0,60.0,0,0,0,60.0,0.0,0.0
KX538APPROVE,0.0,12.0,0,0,0,12.0,0.0,0.0
KXXRP15M,0.0,32.0,0,0,0,32.0,0.0,0.0
KXBUNDESLIGASPREAD,0.0,9.0,0,0,0,9.0,0.0,0.0
KXTORNADO,0.0,11.0,0,0,0,11.0,0.0,0.0
KXCRICKETT20IMATCH,0.0,49.0,0,0,0,49.0,0.0,0.0
KXSLGREECEGAME,0.0,22.0,0,0,0,22.0,0.0,0.0
KXBELGIANPLGAME,0.0,61.0,0,0,0,61.0,0.0,0.0
KXSPOTIFYARTISTD,0.0,3.0,0,0,0,3.0,0.0,0.0
KXATPTOTALSETS,0.0,30.0,0,0,0,30.0,0.0,0.0
KXATPSETWINNER,0.0,47.0,0,0,0,47.0,0.0,0.0
KXATPMIA,0.0,13.0,0,0,0,13.0,0.0,0.0
KXATPMATCH,0.0,70.0,0,0,0,70.0,0.0,0.0
KXATPMAD,0.0,11.0,0,0,0,11.0,0.0,0.0
KXATPIT,0.0,20.0,0,0,0,20.0,0.0,0.0
KXATPEXACTMATCH,0.0,22.0,0,0,0,22.0,0.0,0.0
KXATPDOUBLES,0.0,8.0,0,0,0,8.0,0.0,0.0
KXBANKRUPTS,0.0,19.0,0,0,0,19.0,0.0,0.0
KXSPOTIFY2D,0.0,4.0,0,0,0,4.0,0.0,0.0
KXATPAMT,0.0,14.0,0,0,0,14.0,0.0,0.0
KXSERIEAGAME,0.0,61.0,0,0,0,61.0,0.0,0.0
KXSCOTTISHPREMGAME,0.0,52.0,0,0,0,52.0,0.0,0.0
KXAPRPOTUS,0.0,22.0,0,0,0,22.0,0.0,0.0
KXAPPRANKFREE2,0.0,8.0,0,0,0,8.0,0.0,0.0
KXAPPRANKFREE,0.0,11.0,0,0,0,11.0,0.0,0.0
KX538APPROVEMAX,0.0,2.0,0,0,0,2.0,0.0,0.0
KXAHLGAME,0.0,90.0,0,0,0,90.0,0.0,0.0
KXAFCONGAME,0.0,47.0,0,0,0,47.0,0.0,0.0
KXAFCONADVANCE,0.0,13.0,0,0,0,13.0,0.0,0.0
KXAFCCLGAME,0.0,20.0,0,0,0,20.0,0.0,0.0
KXADP,0.0,7.0,0,0,0,7.0,0.0,0.0
KXAAAGASW,0.0,25.0,0,0,0,25.0,0.0,0.0
KXAAAGASM,0.0,27.0,0,0,0,27.0,0.0,0.0
KX538APPROVEMIN,0.0,14.0,0,0,0,14.0,0.0,0.0
KXALEAGUEGAME,0.0,67.0,0,0,0,67.0,0.0,0.0
KXIIHFGAME,0.0,12.0,0,0,0,12.0,0.0,0.0
KXINXZ,0.0,46.0,0,0,0,46.0,0.0,0.0
KXJBLEAGUEGAME,0.0,132.0,0,0,0,132.0,0.0,0.0
KXJLEAGUEGAME,0.0,24.0,0,0,0,24.0,0.0,0.0
KXJOBLESS,0.0,3.0,0,0,0,3.0,0.0,0.0
KXJOBLESSCLAIMS,0.0,23.0,0,0,0,23.0,0.0,0.0
KXKBLGAME,0.0,47.0,0,0,0,47.0,0.0,0.0
KXKHLGAME,0.0,41.0,0,0,0,41.0,0.0,0.0
KXKIMMELMENTION,0.0,52.0,0,0,0,52.0,0.0,0.0
KXKLEAGUEGAME,0.0,34.0,0,0,0,34.0,0.0,0.0
KXKNVBCUPGAME,0.0,11.0,0,0,0,11.0,0.0,0.0
KXLAGODAYS,0.0,7.0,0,0,0,7.0,0.0,0.0
KXLALIGAGAME,0.0,114.0,0,0,0,114.0,0.0,0.0
KXLALIGASPREAD,0.0,17.0,0,0,0,17.0,0.0,0.0
KXLALIGATOTAL,0.0,49.0,0,0,0,49.0,0.0,0.0
KXFACUPADVANCE,0.0,7.0,0,0,0,7.0,0.0,0.0
KXLOWTDEN,0.0,17.0,0,0,0,17.0,0.0,0.0
KXLOWTCHI,0.0,20.0,0,0,0,20.0,0.0,0.0
KXLOWTAUS,0.0,15.0,0,0,0,15.0,0.0,0.0
KXLOLTOTALMAPS,0.0,16.0,0,0,0,16.0,0.0,0.0
KXLOLMAP,0.0,41.0,0,0,0,41.0,0.0,0.0
KXLOLGAMES,0.0,26.0,0,0,0,26.0,0.0,0.0
KXLOLGAME,0.0,100.0,0,0,0,100.0,0.0,0.0
KXLATENIGHTMENTION,0.0,57.0,0,0,0,57.0,0.0,0.0
KXLLM1,0.0,8.0,0,0,0,8.0,0.0,0.0
KXATPCHALLENGERMATCH,0.0,76.0,0,0,0,76.0,0.0,0.0
KXLIGUE1SPREAD,0.0,16.0,0,0,0,16.0,0.0,0.0
KXLIGUE1GAME,0.0,57.0,0,0,0,57.0,0.0,0.0
KXLIGAPORTUGALGAME,0.0,55.0,0,0,0,55.0,0.0,0.0
KXLIGAMXGAME,0.0,53.0,0,0,0,53.0,0.0,0.0
KXLEAVITTMENTIONDURATION,0.0,38.0,0,0,0,38.0,0.0,0.0
KXLEAVITTLATE,0.0,18.0,0,0,0,18.0,0.0,0.0
KXLNBELITEGAME,0.0,72.0,0,0,0,72.0,0.0,0.0
KXGDP,0.0,43.0,0,0,0,43.0,0.0,0.0
KXGBP,0.0,14.0,0,0,0,14.0,0.0,0.0
KXGAS,0.0,32.0,0,0,0,32.0,0.0,0.0
KXFRM,0.0,15.0,0,0,0,15.0,0.0,0.0
KXFOWOMEN,0.0,45.0,0,0,0,45.0,0.0,0.0
KXFOMEN,0.0,38.0,0,0,0,38.0,0.0,0.0
KXFLIGHTORD,0.0,8.0,0,0,0,8.0,0.0,0.0
KXHURCAT,0.0,21.0,0,0,0,21.0,0.0,0.0
KXFLIGHTJFK,0.0,24.0,0,0,0,24.0,0.0,0.0
KXFIFAGAME,0.0,58.0,0,0,0,58.0,0.0,0.0
KXFIBAECUPGAME,0.0,42.0,0,0,0,42.0,0.0,0.0
KXFIBACHAMPLEAGUEGAME,0.0,86.0,0,0,0,86.0,0.0,0.0
KXFEDDECISION,0.0,11.0,0,0,0,11.0,0.0,0.0
KXFED,0.0,13.0,0,0,0,13.0,0.0,0.0
KXFEAR,0.0,4.0,0,0,0,4.0,0.0,0.0
KXFACUPGAME,0.0,29.0,0,0,0,29.0,0.0,0.0
KXFLIGHTLAX,0.0,7.0,0,0,0,7.0,0.0,0.0
KXHOCHULMENTION,0.0,90.0,0,0,0,90.0,0.0,0.0
KXHNLGAME,0.0,54.0,0,0,0,54.0,0.0,0.0
KXHMONTHRANGE,0.0,12.0,0,0,0,12.0,0.0,0.0
KXHIGHTSFO,0.0,46.0,0,0,0,46.0,0.0,0.0
KXHIGHTSEA,0.0,18.0,0,0,0,18.0,0.0,0.0
KXHIGHTNOLA,0.0,16.0,0,0,0,16.0,0.0,0.0
KXHIGHTLV,0.0,17.0,0,0,0,17.0,0.0,0.0
KXGOLD,0.0,6.0,0,0,0,6.0,0.0,0.0
KXHIGHPHIL,0.0,19.0,0,0,0,19.0,0.0,0.0
KXHIGHNY,0.0,52.0,0,0,0,52.0,0.0,0.0
KXHIGHMIA,0.0,27.0,0,0,0,27.0,0.0,0.0
KXHIGHLAX,0.0,28.0,0,0,0,28.0,0.0,0.0
KXHIGHHOU,0.0,24.0,0,0,0,24.0,0.0,0.0
KXHIGHDEN,0.0,26.0,0,0,0,26.0,0.0,0.0
KXHIGHCHI,0.0,50.0,0,0,0,50.0,0.0,0.0
KXHIGHAUS,0.0,32.0,0,0,0,32.0,0.0,0.0
KXHIGHTDC,0.0,34.0,0,0,0,34.0,0.0,0.0
