ticker,category,series_title,total_markets,wins,losses,accuracy,expected_profit,profitable,breakeven,is_seasonal,is_year_round
KXLOWTCHI,Climate and Weather,Lowest Temperature Chicago,20,16,4,80.0,-0.12,False,False,False,False
KXNBASTL,Sports,Pro Basketball Player Steals,5,4,1,80.0,-0.12,False,False,True,False
KXDARTSMATCH,Sports,Darts Match,20,16,4,80.0,-0.12,False,False,False,False
KXNFLREC,Sports,Pro Football Player Receptions,89,71,18,79.7752808988764,-0.12224719101123604,False,False,True,False
KXNHLSPREAD,Sports,NHL Spread,29,23,6,79.3103448275862,-0.12689655172413794,False,False,True,False
KXNCAAMENTION,Mentions,NCAA Mention,101,80,21,79.20792079207921,-0.12792079207920792,False,False,True,True
KXALEAGUEGAME,Sports,Australian A League Game,67,53,14,79.1044776119403,-0.1289552238805971,False,False,False,False
KXJBLEAGUEGAME,Sports,Japan B League Game,66,52,14,78.78787878787878,-0.1321212121212122,False,False,False,False
KXRAINNY,World,NYC rain,9,7,2,77.77777777777779,-0.14222222222222214,False,False,False,True
KXNFLANYTD,Sports,Pro Football Anytime Touchdown,18,14,4,77.77777777777779,-0.14222222222222214,False,False,True,False
KXBUNDESLIGASPREAD,Sports,Bundesliga Spread,9,7,2,77.77777777777779,-0.14222222222222214,False,False,False,False
KXHIGHTSEA,Climate and Weather,Seattle Maximum Temperature Daily,18,14,4,77.77777777777779,-0.14222222222222214,False,False,False,True
KXSERIEATOTAL,Sports,Serie A Total,49,38,11,77.55102040816327,-0.14448979591836741,False,False,False,False
KXCODGAME,Sports,Call of Duty Games,35,27,8,77.14285714285715,-0.14857142857142847,False,False,False,False
KXNFLPREPACK2ML,Sports,MVE NFL Pre Pack,35,27,8,77.14285714285715,-0.14857142857142847,False,False,True,False
KXTACAPORTGAME,Sports,Taca de Portugal Game,13,10,3,76.92307692307693,-0.15076923076923066,False,False,False,False
KXTSAW,Science and Technology,TSA check-ins this week,13,10,3,76.92307692307693,-0.15076923076923066,False,False,False,False
KXATPSETWINNER,Sports,ATP Set Winner,47,36,11,76.59574468085107,-0.1540425531914893,False,False,False,False
KXCOPADELREYADVANCE,Sports,Copa Del Rey To Advance,17,13,4,76.47058823529412,-0.15529411764705892,False,False,False,False
KXNFLTEAMTOTAL,Sports,Pro Football Team Total Points,101,77,24,76.23762376237624,-0.15762376237623754,False,False,True,False
KXMLBTOTAL,Sports,Pro Baseball Total Points,20,15,5,75.0,-0.17000000000000004,False,False,True,False
KXXRP15M,Crypto,XRP 15 Minute,32,24,8,75.0,-0.17000000000000004,False,False,False,False
KXSURVIVORELIMINATION,Entertainment,WHO WILL BE ELIMINATED FROM SURVIVOR,4,3,1,75.0,-0.17000000000000004,False,False,False,False
