category,sub_category,total_markets,wins,losses,accuracy_pct,avg_entry_price,flag
Sports,KXSERIEATOTAL,96,75,21,78.125,0.9247916666666667,
Sports,KXUNRIVALEDGAME,32,25,7,78.125,0.946875,
Entertainment,KXAPPRANKFREE,41,32,9,78.04878048780488,0.9497560975609756,
Sports,KXNFLANYTD,50,39,11,78.0,0.9458000000000001,
Sports,KXCS2TOTALMAPS,59,46,13,77.96610169491525,0.9628813559322035,
Sports,KXNHLSPREAD,54,42,12,77.77777777777779,0.9255555555555556,
Sports,KXJBLEAGUEGAME,107,83,24,77.57009345794393,0.9229906542056074,
Climate and Weather,KXLOWTCHI,40,31,9,77.5,0.931,
Sports,KXJLEAGUEGAME,52,40,12,76.92307692307693,0.9226923076923075,
Climate and Weather,KXLOWTDEN,39,30,9,76.92307692307693,0.9292307692307693,
Economics,KXCPISHELTER,13,10,3,76.92307692307693,0.9461538461538462,⚠️ LOW SAMPLE
Climate and Weather,KXRAINNYC,95,73,22,76.84210526315789,0.9493684210526318,
Sports,KXALEAGUEGAME,82,63,19,76.82926829268293,0.9125609756097562,
Sports,KXVALORANTGAME,120,92,28,76.66666666666667,0.9285000000000001,
Sports,KXCRICKETT20IMATCH,77,59,18,76.62337662337663,0.9270129870129872,
Sports,KXLIGUE1TOTAL,102,78,24,76.47058823529412,0.9447058823529413,
Sports,KXTACAPORTGAME,17,13,4,76.47058823529412,0.9135294117647059,⚠️ LOW SAMPLE
Sports,KXCODGAME,72,55,17,76.38888888888889,0.9361111111111112,
Sports,KXCOPADELREYGAME,38,29,9,76.31578947368422,0.9102631578947366,
Climate and Weather,KXHIGHPHIL,42,32,10,76.19047619047619,0.9347619047619047,
Science and Technology,KXTOPMODEL,21,16,5,76.19047619047619,0.9295238095238095,
Mentions,KXTRUMPMENTION,88,67,21,76.13636363636364,0.9168181818181819,
Sports,KXNFLPREPACKSGP,66,50,16,75.75757575757575,0.9322727272727271,
Politics,KXAPRPOTUS,33,25,8,75.75757575757575,0.9472727272727274,
Sports,KXFACUPADVANCE,33,25,8,75.75757575757575,0.9566666666666667,
Climate and Weather,KXHIGHCHI,41,31,10,75.60975609756098,0.9258536585365854,
Sports,KXNFLREC,101,76,25,75.24752475247524,0.9095049504950499,
Sports,KXWTAIT,40,30,10,75.0,0.9365,
Sports,KXLIGUE1SPREAD,32,24,8,75.0,0.9575,
Sports,KXCOPADELREYADVANCE,24,18,6,75.0,0.9237500000000001,
Sports,KXIIHFGAME,20,15,5,75.0,0.9375,
Mentions,KXMRBEASTMENTION,122,91,31,74.59016393442623,0.9241803278688525,
Sports,KXLOLMAP,110,82,28,74.54545454545455,0.934727272727273,
Sports,KXR6GAME,128,95,33,74.21875,0.9436718749999999,
Sports,KXATPSETWINNER,116,86,30,74.13793103448276,0.9480172413793105,
Climate and Weather,KXHIGHHOU,46,34,12,73.91304347826086,0.9317391304347823,
Mentions,KXTRUMPMENTIONB,126,93,33,73.80952380952381,0.9124603174603175,
Climate and Weather,KXLOWTNYC,42,31,11,73.80952380952381,0.9290476190476191,
Sports,KXNFLPREPACK2ML,64,47,17,73.4375,0.9317187499999999,
Sports,KXNFLTEAMTOTAL,135,99,36,73.33333333333333,0.9177037037037038,
Sports,KXBOXING,30,22,8,73.33333333333333,0.9463333333333331,
Sports,KXF1RACEPODIUM,41,30,11,73.17073170731707,0.9404878048780486,
Mentions,KXNCAABMENTION,110,80,30,72.72727272727273,0.9156363636363638,
Climate and Weather,KXHIGHAUS,43,31,12,72.09302325581395,0.9223255813953489,
Climate and Weather,KXHIGHTSEA,39,28,11,71.7948717948718,0.9230769230769231,
Companies,KXSPACEXSTARSHIP,39,28,11,71.7948717948718,0.9212820512820511,
Sports,KXUCLSPREAD,39,28,11,71.7948717948718,0.9443589743589741,
Economics,KXJOBLESS,7,5,2,71.42857142857143,0.9442857142857143,⚠️ LOW SAMPLE
Sports,KXWOSSKATE,7,5,2,71.42857142857143,0.9328571428571429,⚠️ LOW SAMPLE
Climate and Weather,KXHIGHTSFO,40,28,12,70.0,0.92225,
Politics,KX538APPROVE,30,21,9,70.0,0.9443333333333331,
Sports,KXATPAMT,30,21,9,70.0,0.9643333333333329,
Sports,KXNFLRECYDS,113,79,34,69.91150442477876,0.9190265486725666,
Crypto,KXXRP15M,65,45,20,69.23076923076923,0.9332307692307693,
Sports,KXPGARYDERMATCH,32,22,10,68.75,0.9340625,
Politics,KX538APPROVEMAX,16,11,5,68.75,0.961875,⚠️ LOW SAMPLE
Sports,KXCOUPEDEFRANCEGAME,35,24,11,68.57142857142857,0.9248571428571428,
Mentions,KXKIMMELMENTION,88,60,28,68.18181818181817,0.9326136363636365,
Sports,KXNFLPASSYDS,119,81,38,68.0672268907563,0.9063025210084038,
Sports,KXNFLPREPACK,30,20,10,66.66666666666666,0.9213333333333333,
Entertainment,KXNETFLIXRANKMOVIE,21,14,7,66.66666666666666,0.9157142857142856,
Economics,KXFEAR,18,12,6,66.66666666666666,0.9516666666666667,⚠️ LOW SAMPLE
Sports,KXNFL2TD,18,12,6,66.66666666666666,0.9122222222222223,⚠️ LOW SAMPLE
Economics,KXOILW,9,6,3,66.66666666666666,0.9522222222222223,⚠️ LOW SAMPLE
Sports,KXEPLGOAL,3,2,1,66.66666666666666,0.9899999999999999,⚠️ LOW SAMPLE
Economics,KXJOBLESSCLAIMS,50,33,17,66.0,0.9396000000000001,
Entertainment,KXBILLBOARDRUNNERUPSONG,23,15,8,65.21739130434783,0.9326086956521737,
Sports,KXATPTOTALSETS,84,54,30,64.28571428571429,0.9540476190476193,
Entertainment,KXSPOTIFYD,14,9,5,64.28571428571429,0.9592857142857143,⚠️ LOW SAMPLE
Sports,KXNFLPASSTDS,109,69,40,63.30275229357798,0.9377981651376149,
Sports,KXCRICKETODIMATCH,19,12,7,63.1578947368421,0.9436842105263158,⚠️ LOW SAMPLE
Entertainment,KXSPOTIFYW,16,10,6,62.5,0.9681249999999999,⚠️ LOW SAMPLE
Sports,KXKLEAGUEGAME,29,18,11,62.06896551724138,0.9224137931034485,
Sports,KXWOLUGE,26,16,10,61.53846153846154,0.9576923076923076,
Mentions,KXCOLBERTMENTION,67,41,26,61.19402985074627,0.9208955223880597,
Sports,KXLALIGASPREAD,36,22,14,61.111111111111114,0.9347222222222222,
Sports,KXCFPSEED,18,11,7,61.111111111111114,0.9405555555555556,⚠️ LOW SAMPLE
Entertainment,KXTOPALBUM,23,14,9,60.86956521739131,0.9439130434782608,
Sports,KXNFLPREPACK3ML,25,15,10,60.0,0.9239999999999999,
Entertainment,KXDGAAWARDS,20,12,8,60.0,0.9564999999999998,
Entertainment,KXSURVIVORELIMINATION,20,12,8,60.0,0.9659999999999999,
Mentions,KXSTARMERMENTION,67,40,27,59.70149253731343,0.9168656716417911,
Mentions,KXLEAVITTMENTIONDURATION,44,26,18,59.09090909090909,0.9397727272727273,
Entertainment,KXTOPSONG,26,15,11,57.692307692307686,0.9315384615384615,
Entertainment,KXBILLBOARDRUNNERUPALBUM,28,16,12,57.14285714285714,0.9482142857142858,
Climate and Weather,KXHMONTHRANGE,30,17,13,56.666666666666664,0.9539999999999996,
Economics,KXADP,23,13,10,56.52173913043478,0.9482608695652175,
Sports,KXBUNDESLIGASPREAD,32,18,14,56.25,0.948125,
Sports,KXNFLRSHYDS,134,75,59,55.970149253731336,0.9056716417910448,
Sports,KXNBA2D,63,34,29,53.96825396825397,0.9730158730158733,
Mentions,KXLATENIGHTMENTION,72,38,34,52.77777777777778,0.9159722222222224,
World,KXFLIGHTLAX,21,11,10,52.38095238095239,0.9514285714285713,
Sports,KXATPEXACTMATCH,54,28,26,51.85185185185185,0.9412962962962963,
Mentions,KXSURVIVORMENTION,116,58,58,50.0,0.9357758620689653,
Politics,KXASYLUMCASES,18,9,9,50.0,0.9361111111111112,⚠️ LOW SAMPLE
Sports,KXPICKLEBALL,31,15,16,48.38709677419355,0.9680645161290319,
Sports,KXUFCMOF,21,10,11,47.61904761904761,0.9442857142857141,
Entertainment,KXNETFLIXRANKSHOWRUNNERUP,19,9,10,47.368421052631575,0.9247368421052634,⚠️ LOW SAMPLE
Mentions,KXSNLMENTION,65,30,35,46.15384615384615,0.9238461538461538,
Entertainment,KXNETFLIXRANKMOVIERUNNERUP,18,8,10,44.44444444444444,0.9288888888888889,⚠️ LOW SAMPLE
Financials,KXGOLD,21,9,12,42.857142857142854,0.973333333333333,
Entertainment,KXSPOTIFYALBUMW,14,6,8,42.857142857142854,0.947142857142857,⚠️ LOW SAMPLE
Entertainment,KXSPOTIFYVIRALD,5,2,3,40.0,0.99,⚠️ LOW SAMPLE
Sports,KXUFCMOV,71,22,49,30.985915492957744,0.9281690140845074,
Entertainment,KXSPOTIFYGLOBALD,29,8,21,27.586206896551722,0.9648275862068965,
Entertainment,KXSPOTIFYARTISTD,24,6,18,25.0,0.9595833333333333,
Financials,KXUSDJPY,8,2,6,25.0,0.9875,⚠️ LOW SAMPLE
Entertainment,KXSPOTIFY2D,23,5,18,21.73913043478261,0.9539130434782609,
Financials,KXWTIW,33,7,26,21.21212121212121,0.9551515151515151,
Sports,KXNBA3D,33,7,26,21.21212121212121,0.9657575757575758,
Financials,KXEURUSD,31,5,26,16.129032258064516,0.9822580645161288,
Financials,KXTNOTEW,14,2,12,14.285714285714285,0.9764285714285715,⚠️ LOW SAMPLE
Sports,KXMVENFLMULTIGAMEEXTENDED,2,0,2,0.0,0.97,⚠️ LOW SAMPLE
Sports,KXMVEGRAMMYS,1,0,1,0.0,0.99,⚠️ LOW SAMPLE
Sports,KXMVENFLSINGLEGAME,1,0,1,0.0,0.99,⚠️ LOW SAMPLE
Sports,KXNHLPTS,1,0,1,0.0,0.98,⚠️ LOW SAMPLE
