Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14MACMUN-MAC,Will Tomas Machac win the Machac vs Munar : Quarterfinal match?,yes,100,YES,2026-01-15T03:30:53.787359Z,91,,,2026-01-15T03:46:03.09259Z,15.2,909,CORRECT,818
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14LOFBAS-BAS,Will Nishesh Basavareddy win the Loffhagen vs Basavareddy : Qualification Final match?,yes,100,YES,2026-01-15T02:40:53.065265Z,90,,,2026-01-15T03:21:14.667632Z,40.4,2421,CORRECT,1163
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14YIBBOY-YIB,Will Yibing Wu win the Wu vs Boyer : Qualification Final match?,yes,100,YES,2026-01-15T02:32:41.340748Z,90,,,2026-01-15T03:21:02.783699Z,48.4,2901,CORRECT,235
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14HERBUD-BUD,Will Nicolai Budkov Kjaer win the Herbert vs Budkov Kjaer : Qualification Final match?,yes,100,YES,2026-01-15T02:29:16.842789Z,91,,,2026-01-15T03:06:16.942262Z,37.0,2220,CORRECT,193
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14TRASWE-SWE,Will Dane Sweeny win the Travaglia vs Sweeny : Qualification Final match?,yes,100,YES,2026-01-15T00:22:25.778363Z,95,,,2026-01-15T02:52:49.771274Z,150.4,9023,CORRECT,465
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14FARTRU-FAR,Will Jaime Faria win the Faria vs Trungelliti : Qualification Final match?,yes,100,YES,2026-01-15T01:17:18.962881Z,91,,,2026-01-15T01:52:48.068641Z,35.5,2129,CORRECT,488
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14PRIFER-FER,Will Arthur Fery win the Prizmic vs Fery : Qualification Final match?,yes,100,YES,2026-01-15T01:23:55.907378Z,90,,,2026-01-15T01:46:49.000711Z,22.9,1373,CORRECT,245
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14ZEPSAK-SAK,Will Rei Sakamoto win the Zeppieri vs Sakamoto : Qualification Final match?,yes,100,YES,2026-01-15T00:54:03.391216Z,91,,,2026-01-15T01:32:44.850323Z,38.7,2321,CORRECT,505
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14MEDMEN-MEN,Will Jakub Mensik win the Medjedovic vs Mensik : Round Of 16 match?,yes,100,YES,2026-01-14T09:44:19.431536Z,92,,,2026-01-14T11:02:10.55559Z,77.8,4671,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13SACDRA-SAC,Will Vitaliy Sachko win the Sachko vs Draxl : Qualification Round 2 match?,no,0,YES,2026-01-14T09:50:43.014869Z,90,,,2026-01-14T10:41:45.182409Z,51.0,3062,WRONG,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14DAVHIJ-DAV,Will Alejandro Davidovich Fokina win the Davidovich Fokina vs Hijikata : Round Of 16 match?,yes,100,YES,2026-01-14T08:42:18.200859Z,90,,,2026-01-14T09:41:43.205553Z,59.4,3565,CORRECT,1195
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BURGEA-GEA,Will Arthur Gea win the Burruchaga vs Gea : Qualification Round 2 match?,yes,100,YES,2026-01-14T08:10:31.407703Z,90,,,2026-01-14T09:32:01.63511Z,81.5,4890,CORRECT,777
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MERKLE-KLE,Will Lukas Klein win the Merida vs Klein : Qualification Round 2 match?,yes,100,YES,2026-01-14T08:37:56.176422Z,92,,,2026-01-14T09:32:00.482752Z,54.1,3244,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13KUBGAU-KUB,Will Jason Kubler win the Kubler vs Gaubas : Qualification Round 2 match?,yes,100,YES,2026-01-14T08:43:40.432734Z,91,,,2026-01-14T09:32:00.353365Z,48.3,2899,CORRECT,789
