series_ticker,sub_category,total_markets,markets_0-15min,accuracy_0-15min,status_0-15min,markets_15-60min,accuracy_15-60min,status_15-60min,markets_1-3hrs,accuracy_1-3hrs,status_1-3hrs,markets_3hrs+,accuracy_3hrs+,status_3hrs+
KXFIBACHAMPLEAGUEGAME,Sports > Other Sports,37,11,100.0,PROFITABLE,22,100.0,PROFITABLE,4,100.0,PROFITABLE,0,,N/A
KXFIBAECUPGAME,Sports > Golf > PGA,19,5,100.0,PROFITABLE,9,100.0,PROFITABLE,4,100.0,PROFITABLE,1,100.0,PROFITABLE
KXFIFAGAME,Sports > Esports > FIFA,55,14,100.0,PROFITABLE,26,100.0,PROFITABLE,15,100.0,PROFITABLE,0,,N/A
KXFOMEN,Sports > Tennis > French Open Men's Singles,33,1,100.0,PROFITABLE,5,100.0,PROFITABLE,8,100.0,PROFITABLE,19,94.7,PROFITABLE
KXFOWOMEN,Sports > Tennis > French Open Women's Singles,37,2,100.0,PROFITABLE,1,100.0,PROFITABLE,18,100.0,PROFITABLE,16,100.0,PROFITABLE
KXGAS,Economics > Energy Prices,26,0,,N/A,0,,N/A,0,,N/A,26,100.0,PROFITABLE
KXGDP,Economics > GDP,34,1,100.0,PROFITABLE,0,,N/A,1,100.0,PROFITABLE,32,96.9,PROFITABLE
KXHIGHAUS,Climate and Weather > Temperature,28,0,,N/A,0,,N/A,0,,N/A,28,100.0,PROFITABLE
KXHIGHCHI,Climate and Weather > Temperature,21,1,100.0,PROFITABLE,2,100.0,PROFITABLE,3,100.0,PROFITABLE,15,100.0,PROFITABLE
KXHIGHDEN,Climate and Weather > Temperature,23,0,,N/A,0,,N/A,0,,N/A,23,100.0,PROFITABLE
KXHIGHHOU,Climate and Weather > Temperature,21,2,100.0,PROFITABLE,0,,N/A,2,50.0,NOT,17,100.0,PROFITABLE
KXHIGHLAX,Climate and Weather > Temperature,27,0,,N/A,0,,N/A,1,100.0,PROFITABLE,26,100.0,PROFITABLE
KXHIGHMIA,Climate and Weather > Temperature,25,0,,N/A,0,,N/A,1,100.0,PROFITABLE,24,100.0,PROFITABLE
KXHIGHNY,Climate and Weather > Temperature,25,1,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A,23,100.0,PROFITABLE
KXHIGHTSFO,Climate and Weather > Temperature,16,0,,N/A,0,,N/A,4,100.0,PROFITABLE,12,100.0,PROFITABLE
KXHNLGAME,Sports > Soccer > Croatia HNL,25,15,100.0,PROFITABLE,7,100.0,PROFITABLE,3,100.0,PROFITABLE,0,,N/A
KXHOCHULMENTION,Mentions > Mentions,72,0,,N/A,11,100.0,PROFITABLE,29,100.0,PROFITABLE,32,100.0,PROFITABLE
KXHURCAT,Climate and Weather > Other Weather,19,0,,N/A,0,,N/A,0,,N/A,19,100.0,PROFITABLE
KXINXZ,Financials > Stock Indices,38,7,100.0,PROFITABLE,5,100.0,PROFITABLE,11,100.0,PROFITABLE,15,100.0,PROFITABLE
KXJBLEAGUEGAME,Sports > Other Sports,51,13,100.0,PROFITABLE,26,100.0,PROFITABLE,9,100.0,PROFITABLE,3,100.0,PROFITABLE
KXJLEAGUEGAME,Sports > Soccer > Japan J League,21,6,100.0,PROFITABLE,11,100.0,PROFITABLE,1,100.0,PROFITABLE,3,100.0,PROFITABLE
KXJOBLESSCLAIMS,Economics > Employment & Fed,14,2,0.0,NOT,1,100.0,PROFITABLE,0,,N/A,11,100.0,PROFITABLE
KXKBLGAME,Sports > Other Sports,41,14,100.0,PROFITABLE,19,100.0,PROFITABLE,8,100.0,PROFITABLE,0,,N/A
KXKHLGAME,Sports > Hockey > KHL,35,14,100.0,PROFITABLE,13,100.0,PROFITABLE,7,100.0,PROFITABLE,1,100.0,PROFITABLE
KXKIMMELMENTION,Mentions > Mentions,37,0,,N/A,0,,N/A,0,,N/A,37,100.0,PROFITABLE
KXLALIGAGAME,Sports > Soccer > La Liga,50,33,100.0,PROFITABLE,16,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A
KXLALIGATOTAL,Sports > Soccer > La Liga,42,15,100.0,PROFITABLE,22,100.0,PROFITABLE,3,100.0,PROFITABLE,2,100.0,PROFITABLE
KXLATENIGHTMENTION,Mentions > Mentions,30,0,,N/A,0,,N/A,0,,N/A,30,100.0,PROFITABLE
KXLIGAMXGAME,Sports > Soccer > Liga MX,44,24,100.0,PROFITABLE,14,100.0,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXLIGAPORTUGALGAME,Sports > Soccer > Liga Portugal,47,25,100.0,PROFITABLE,16,100.0,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXLIGUE1GAME,Sports > Soccer > Ligue 1,54,32,100.0,PROFITABLE,21,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A
KXLIGUE1TOTAL,Sports > Soccer > Ligue 1,30,13,100.0,PROFITABLE,16,100.0,PROFITABLE,1,100.0,PROFITABLE,0,,N/A
KXLNBELITEGAME,Sports > Other Sports,31,5,100.0,PROFITABLE,16,100.0,PROFITABLE,8,87.5,NOT,2,100.0,PROFITABLE
KXLOLGAME,Sports > Esports > League of Legends,89,8,100.0,PROFITABLE,45,100.0,PROFITABLE,29,100.0,PROFITABLE,7,100.0,PROFITABLE
KXLOLGAMES,Sports > Esports > League of Legends,23,0,,N/A,3,100.0,PROFITABLE,3,100.0,PROFITABLE,17,100.0,PROFITABLE
KXLOLMAP,Sports > Esports > League of Legends,29,26,100.0,PROFITABLE,3,100.0,PROFITABLE,0,,N/A,0,,N/A
KXLOWTCHI,Climate and Weather > Temperature,15,2,100.0,PROFITABLE,0,,N/A,2,100.0,PROFITABLE,11,100.0,PROFITABLE
KXLOWTLAX,Climate and Weather > Temperature,18,0,,N/A,1,100.0,PROFITABLE,4,75.0,NOT,13,100.0,PROFITABLE
KXLOWTNYC,Climate and Weather > Temperature,15,1,100.0,PROFITABLE,2,100.0,PROFITABLE,3,100.0,PROFITABLE,9,100.0,PROFITABLE
KXLOWTPHIL,Climate and Weather > Temperature,21,2,100.0,PROFITABLE,0,,N/A,2,100.0,PROFITABLE,17,100.0,PROFITABLE
KXMAMDANIMENTION,Mentions > Mentions,70,0,,N/A,12,100.0,PROFITABLE,50,100.0,PROFITABLE,8,100.0,PROFITABLE
KXMLBGAME,Sports > Baseball > MLB,61,22,100.0,PROFITABLE,22,100.0,PROFITABLE,17,100.0,PROFITABLE,0,,N/A
KXMLBSPREAD,Sports > Baseball > MLB,37,19,100.0,PROFITABLE,15,100.0,PROFITABLE,3,100.0,PROFITABLE,0,,N/A
KXMLBTOTAL,Sports > Baseball > MLB,15,1,100.0,PROFITABLE,3,100.0,PROFITABLE,7,100.0,PROFITABLE,4,100.0,PROFITABLE
KXMLSGAME,Sports > Soccer > MLS,55,24,100.0,PROFITABLE,21,100.0,PROFITABLE,5,100.0,PROFITABLE,5,100.0,PROFITABLE
KXMRBEASTMENTION,Mentions > Mentions,65,0,,N/A,1,100.0,PROFITABLE,6,100.0,PROFITABLE,58,100.0,PROFITABLE
KXNASDAQ100Z,Financials > Stock Indices,21,2,100.0,PROFITABLE,7,100.0,PROFITABLE,3,100.0,PROFITABLE,9,100.0,PROFITABLE
KXNBAGAME,Sports > Basketball > NBA,32,6,100.0,PROFITABLE,16,100.0,PROFITABLE,10,100.0,PROFITABLE,0,,N/A
KXNBAMENTION,Mentions > Mentions,74,0,,N/A,0,,N/A,8,100.0,PROFITABLE,66,100.0,PROFITABLE
KXNBASPREAD,Sports > Basketball > NBA,24,0,,N/A,13,100.0,PROFITABLE,10,100.0,PROFITABLE,1,100.0,PROFITABLE
KXNBATOTAL,Sports > Basketball > NBA,80,27,100.0,PROFITABLE,32,100.0,PROFITABLE,21,100.0,PROFITABLE,0,,N/A
KXNBLGAME,Sports > Other Sports,55,19,100.0,PROFITABLE,27,100.0,PROFITABLE,8,100.0,PROFITABLE,1,100.0,PROFITABLE
KXNCAABMENTION,Mentions > Mentions,56,0,,N/A,1,100.0,PROFITABLE,27,96.3,PROFITABLE,28,100.0,PROFITABLE
KXNCAAFGAME,Sports > Football > NCAA Football,50,17,100.0,PROFITABLE,15,100.0,PROFITABLE,16,100.0,PROFITABLE,2,100.0,PROFITABLE
KXNCAAFSPREAD,Sports > Football > NCAA Football,55,0,,N/A,7,100.0,PROFITABLE,46,100.0,PROFITABLE,2,100.0,PROFITABLE
KXNCAAFTOTAL,Sports > Football > NCAA Football,101,1,100.0,PROFITABLE,14,100.0,PROFITABLE,54,100.0,PROFITABLE,32,100.0,PROFITABLE
KXNCAAMENTION,Mentions > Mentions,80,0,,N/A,1,100.0,PROFITABLE,10,100.0,PROFITABLE,69,100.0,PROFITABLE
KXNFLGAME,Sports > Football > NFL,35,11,100.0,PROFITABLE,11,100.0,PROFITABLE,13,100.0,PROFITABLE,0,,N/A
KXNFLMENTION,Mentions > Mentions,67,11,100.0,PROFITABLE,0,,N/A,12,100.0,PROFITABLE,44,100.0,PROFITABLE
KXNFLPASSTDS,Sports > Football > NFL,30,23,100.0,PROFITABLE,3,66.7,NOT,3,66.7,NOT,1,100.0,PROFITABLE
KXNFLPASSYDS,Sports > Football > NFL,77,1,100.0,PROFITABLE,37,100.0,PROFITABLE,35,100.0,PROFITABLE,4,100.0,PROFITABLE
KXNFLPREPACK,Sports > Football > NFL,12,3,66.7,NOT,9,88.9,NOT,0,,N/A,0,,N/A
KXNFLPREPACK2ML,Sports > Football > NFL,23,5,100.0,PROFITABLE,12,100.0,PROFITABLE,6,100.0,PROFITABLE,0,,N/A
KXNFLPREPACKSGP,Sports > Football > NFL,29,12,100.0,PROFITABLE,14,100.0,PROFITABLE,3,100.0,PROFITABLE,0,,N/A
KXNFLREC,Sports > Football > NFL,72,0,,N/A,23,91.3,PROFITABLE,28,100.0,PROFITABLE,21,100.0,PROFITABLE
KXNFLRECYDS,Sports > Football > NFL,51,1,100.0,PROFITABLE,11,90.9,NOT,27,100.0,PROFITABLE,12,100.0,PROFITABLE
KXNFLRSHYDS,Sports > Football > NFL,67,1,100.0,PROFITABLE,25,100.0,PROFITABLE,29,100.0,PROFITABLE,12,100.0,PROFITABLE
