Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08PELSEY-PEL,Will Andrea Pellegrino win the Pellegrino vs Seyboth Wild : Qualification Final match?,,100,2026-02-08T20:32:22.274154Z,90,,,,20.1,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08SVABOY-SVA,Will Zachary Svajda win the Svajda vs Boyer : Qualification Final match?,,100,2026-02-08T19:14:52.344104Z,96,,,,77.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08DELMON-DEL,Will Hugo Dellien win the Dellien vs Monteiro : Qualification Final match?,,100,2026-02-08T19:35:17.847157Z,90,,,,41.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08GALMID-MID,Will Lautaro Midon win the Galan vs Midon : Qualification Final match?,,100,2026-02-08T17:17:20.503967Z,90,,,,85.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08PASCEC-PAS,Will Francesco Passaro win the Passaro vs Cecchinato : Qualification Final match?,,100,2026-02-08T16:29:23.191623Z,90,,,,127.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08AUGMAN-AUG,Will Felix Auger-Aliassime win the Auger-Aliassime vs Mannarino : Final match?,,100,2026-02-08T14:11:32.139483Z,90,,,,95.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08MEDPAV-PAV,Will Luka Pavlovic win the Medjedovic vs Pavlovic : Qualification Final match?,,100,2026-02-08T15:24:45.288976Z,90,,,,17.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08CARROT-ROT,Will Mees Rottgering win the Carballes Baena vs Rottgering : Qualification Final match?,,100,2026-02-08T14:49:17.579063Z,90,,,,7.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08BOOGRE-BOO,Will Thijs Boogaard win the Boogaard vs Grenier : Qualification Final match?,,0,2026-02-08T11:41:37.39451Z,90,,,,71.2,,WRONG,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB08GASOCO-OCO,Will Christopher O'Connell win the Gaston vs O'Connell : Qualification Final match?,,100,2026-02-08T10:48:03.559383Z,90,,,,44.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07DELOLI-DEL,Will Hugo Dellien win the Dellien vs Olivieri : Round Of 16 match?,,100,2026-02-07T22:26:13.873002Z,90,,,,51.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06JODKRU-JOD,Will Rafael Jodar win the Jodar vs Krueger : Qualification Round 1 match?,,100,2026-02-07T21:12:25.902373Z,91,,,,65.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07COLSEY-SEY,Will Thiago Seyboth Wild win the Collarini vs Seyboth Wild : Round Of 16 match?,,100,2026-02-07T21:05:46.542121Z,94,,,,51.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06RYBCAS-CAS,Will Murphy Cassone win the Rybakov vs Cassone : Qualification Round 1 match?,,100,2026-02-07T20:30:08.189112Z,90,,,,47.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07PELLA-PEL,Will Andrea Pellegrino win the Pellegrino vs La Serna : Round Of 16 match?,,100,2026-02-07T19:57:53.489914Z,90,,,,54.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06AROTOM-TOM,Will Bernard Tomic win the Arora vs Tomic : Qualification Round 1 match?,,100,2026-02-07T17:59:04.00472Z,91,,,,158.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06SHIKWI-SHI,Will Sho Shimabukuro win the Shimabukuro vs Kwiatkowski : Qualification Round 1 match?,,100,2026-02-07T18:52:51.735959Z,91,,,,63.8,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07AGAMON-MON,Will Thiago Monteiro win the Agamenone vs Monteiro : Round Of 16 match?,,100,2026-02-07T18:51:21.935609Z,92,,,,42.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06SVAGEO-SVA,Will Zachary Svajda win the Svajda vs Georgiev : Qualification Round 1 match?,,100,2026-02-07T15:26:00.484245Z,95,,,,236.8,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07CARCAR2-CAR2,Will Roberto Carballes Baena win the Carreno Busta vs Carballes Baena : Qualification Round 1 match?,,100,2026-02-07T19:04:03.508202Z,91,,,,18.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07MIDMEL-MID,Will Lautaro Midon win the Midon vs Meligeni Alves : Round Of 16 match?,,100,2026-02-07T18:43:32.533041Z,91,,,,39.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06DUTPIN-PIN,Will Jack Pinnington Jones win the Dutra Da Silva vs Pinnington Jones : Qualification Round 1 match?,,100,2026-02-07T17:01:04.539719Z,90,,,,102.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07AUGDRO-AUG,Will Felix Auger-Aliassime win the Auger-Aliassime vs Droguet : Semifinal match?,,100,2026-02-07T18:30:39.372528Z,92,,,,12.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07GALTOR-GAL,Will Daniel Elahi Galan win the Galan vs Torres : Round Of 16 match?,,100,2026-02-07T16:53:17.52771Z,90,,,,58.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07PASKIC-PAS,Will Francesco Passaro win the Passaro vs Kicker : Round Of 16 match?,,100,2026-02-07T17:04:58.401866Z,90,,,,38.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07RODCEC-CEC,Will Marco Cecchinato win the Rodriguez Taverna vs Cecchinato : Round Of 16 match?,,100,2026-02-07T16:53:11.204316Z,91,,,,49.9,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06FINBOY-BOY,Will Tristan Boyer win the Finkelstein vs Boyer : Qualification Round 1 match?,,100,2026-02-07T15:52:34.521055Z,94,,,,104.9,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07KYPSAK-KYP,Will Patrick Kypson win the Kypson vs Sakamoto : Qualification Round 1 match?,,100,2026-02-07T16:17:16.076622Z,94,,,,66.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07MEDBAS-MED,Will Hamad Medjedovic win the Medjedovic vs Basilashvili : Qualification Round 1 match?,,100,2026-02-07T16:22:38.603652Z,90,,,,54.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07ROTJAC-ROT,Will Mees Rottgering win the Rottgering vs Jacquet : Qualification Round 1 match?,,100,2026-02-07T16:54:00.28365Z,91,,,,9.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06KYPSAN-KYP,Will Patrick Kypson win the Kypson vs Sanchez Jover : Qualification Round 1 match?,,94,2026-02-07T14:16:47.70141Z,95,,,,136.4,,WRONG,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07MANDAM-MAN,Will Adrian Mannarino win the Mannarino vs Damm Jr : Semifinal match?,,100,2026-02-07T15:27:57.007698Z,90,,,,29.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07PAVHAR-HAR,Will Billy Harris win the Pavlovic vs Harris : Qualification Round 1 match?,,0,2026-02-07T15:00:28.646926Z,90,,,,57.0,,WRONG,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07GASDEC-DEC,Will Alec Deckers win the Gaston vs Deckers : Qualification Round 1 match?,,0,2026-02-07T13:55:30.089582Z,91,,,,47.3,,WRONG,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07COPBOO-COP,Will Kimmer Coppejans win the Coppejans vs Boogaard : Qualification Round 1 match?,,0,2026-02-07T12:38:25.646735Z,93,,,,107.8,,WRONG,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07GRECHO-GRE,Will Hugo Grenier win the Grenier vs Choinski : Qualification Round 1 match?,,100,2026-02-07T11:08:26.967392Z,90,,,,33.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB07SACOCO-OCO,Will Christopher O'Connell win the Sachko vs O'Connell : Qualification Round 1 match?,,100,2026-02-07T10:45:42.367493Z,92,,,,56.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06GRIDRO-DRO,Will Titouan Droguet win the Griekspoor vs Droguet : Quarterfinal match?,,100,2026-02-06T21:24:37.392372Z,90,,,,6.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06AUGFIL-AUG,Will Felix Auger-Aliassime win the Auger-Aliassime vs Fils : Quarterfinal match?,,100,2026-02-06T18:50:28.691361Z,90,,,,35.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06DAMNAR-DAM,Will Martin Damm Jr win the Damm Jr vs Nardi : Quarterfinal match?,,100,2026-02-06T17:42:37.113731Z,90,,,,18.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB06MANGEA-MAN,Will Adrian Mannarino win the Mannarino vs Gea : Quarterfinal match?,,100,2026-02-06T15:57:11.701572Z,90,,,,18.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB04BLAFIL-FIL,Will Arthur Fils win the Blanchet vs Fils : Round Of 16 match?,,100,2026-02-05T20:49:15.418285Z,90,,,,36.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB05AUGWAW-AUG,Will Felix Auger-Aliassime win the Auger-Aliassime vs Wawrinka : Round Of 16 match?,,100,2026-02-05T18:42:45.36908Z,90,,,,49.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB05NARCOB-NAR,Will Luca Nardi win the Nardi vs Cobolli : Round Of 16 match?,,100,2026-02-05T15:40:33.107409Z,90,,,,40.2,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB04GRICAR-GRI,Will Tallon Griekspoor win the Griekspoor vs Carreno Busta : Round Of 16 match?,,100,2026-02-05T14:25:38.336672Z,90,,,,24.8,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB05DROKOV-DRO,Will Titouan Droguet win the Droguet vs Kovacevic : Round Of 16 match?,,100,2026-02-05T13:51:53.163428Z,90,,,,18.8,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB04GEAMAC-GEA,Will Arthur Gea win the Gea vs Machac : Round Of 16 match?,,100,2026-02-04T22:02:56.687554Z,90,,,,12.5,,CORRECT,
