Rank,Category,Subcategory,Series Ticker,Success Rate (%),Correct,Total Events,Wrong,Num Markets
207,Sports,Ligue 1 Spread,KXLIGUE1SPREAD,75.0,24,32,8,32
208,Sports,Copa Del Rey To Advance,KXCOPADELREYADVANCE,75.0,18,24,6,24
209,Sports,IIHF Game,KXIIHFGAME,75.0,15,20,5,20
210,Mentions,What Will Mr Beast say in his next video,KXMRBEASTMENTION,74.6,91,122,31,122
211,Sports,League of Legends Map Winner,KXLOLMAP,74.5,82,110,28,110
212,Sports,R6 Game,KXR6GAME,74.2,95,128,33,128
213,Sports,ATP Set Winner,KXATPSETWINNER,74.1,86,116,30,116
214,Climate and Weather,Highest temperature in Houston,KXHIGHHOU,73.9,34,46,12,46
215,Mentions,Trump Mention B,KXTRUMPMENTIONB,73.8,93,126,33,126
216,Climate and Weather,Lowest temperature in NYC,KXLOWTNYC,73.8,31,42,11,42
217,Sports,MVE NFL Pre Pack,KXNFLPREPACK2ML,73.4,47,64,17,64
218,Sports,Pro Football Team Total Points,KXNFLTEAMTOTAL,73.3,99,135,36,135
219,Sports,Boxing Match Champion,KXBOXING,73.3,22,30,8,30
220,Sports,F1 Race Podium Finisher,KXF1RACEPODIUM,73.2,30,41,11,41
221,Mentions,College Basketball,KXNCAABMENTION,72.7,80,110,30,110
222,Climate and Weather,Highest temperature in Austin,KXHIGHAUS,72.1,31,43,12,43
223,Sports,Champions League Spread,KXUCLSPREAD,71.8,28,39,11,39
224,Climate and Weather,Seattle Maximum Temperature Daily,KXHIGHTSEA,71.8,28,39,11,39
225,Companies,SpaceX Starship launch,KXSPACEXSTARSHIP,71.8,28,39,11,39
226,Climate and Weather,San Francisco High Temperature Daily,KXHIGHTSFO,70.0,28,40,12,40
227,Politics,President 538 approval rating this week,KX538APPROVE,70.0,21,30,9,30
228,Sports,ATP Tour Abierto Mexican Telcel presentado por HSBC,KXATPAMT,70.0,21,30,9,30
229,Sports,Pro Football player Receiving Yards,KXNFLRECYDS,69.9,79,113,34,113
230,Crypto,XRP 15 Minute,KXXRP15M,69.2,45,65,20,65
231,Sports,PGA Ryder Cup Matchups,KXPGARYDERMATCH,68.8,22,32,10,32
232,Politics,Biden 538 highest approval rating,KX538APPROVEMAX,68.8,11,16,5,16
233,Sports,Coupe de France Gam,KXCOUPEDEFRANCEGAME,68.6,24,35,11,35
234,Mentions,Jimmy Kimmel Mention,KXKIMMELMENTION,68.2,60,88,28,88
235,Sports,Pro Football player Passing Yards,KXNFLPASSYDS,68.1,81,119,38,119
236,Sports,MVE NFL Pre Pack,KXNFLPREPACK,66.7,20,30,10,30
237,Entertainment,Netflix movie ranking,KXNETFLIXRANKMOVIE,66.7,14,21,7,21
238,Economics,Fear and Greed index,KXFEAR,66.7,12,18,6,18
239,Sports,Pro Football Multiple Touchdowns,KXNFL2TD,66.7,12,18,6,18
240,Economics,Weekly initial jobless claims,KXJOBLESSCLAIMS,66.0,33,50,17,50
