timestamp,event_id,market_id,question,league,outcome_name,implied_prob,best_bid,best_ask,last_trade_price,clob_buy_price,token_id,game_start_time
2026-02-24T07:33:02.379605+00:00,205363,1424563,LoL: JD Gaming vs Top Esports - Game 4 Winner,league-of-legends,Top Esports,,0,1,0,,3975857327729805339540136310833260029911521769688739546988096022074074313927,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424177,Total Kills Over/Under 27.5 in Game 1?,league-of-legends,Over,0.9955,0.991,1,0.999,0.999,45190023503955418652611455956715720282941466052749535968236755997588624296644,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424177,Total Kills Over/Under 27.5 in Game 1?,league-of-legends,Under,0.0045,0.991,1,0.999,,76778856988775466091566158881318291776147599464617488259736136988665900842954,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424178,Total Kills Over/Under 26.5 in Game 1?,league-of-legends,Over,0.9955,0.991,1,0.999,0.997,101806985141594139229259679555601879717522123589717953852310984218158780187146,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424178,Total Kills Over/Under 26.5 in Game 1?,league-of-legends,Under,0.0045,0.991,1,0.999,,27909990345539872844838873088614501674758169165421224462081306796212783755204,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424183,Total Kills Over/Under 34.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,70387807467657151227744271969442865455403433115092422978600817305121345670157,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424183,Total Kills Over/Under 34.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,100116299970520681859158679717636713714785924655740472099042772023934762846250,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424184,Total Kills Over/Under 33.5 in Game 1?,league-of-legends,Over,0.47,,0.94,,,42543387429900169343454213422342936586048052037401903208525227054670579777733,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424184,Total Kills Over/Under 33.5 in Game 1?,league-of-legends,Under,0.53,,0.94,,0.13,60817197189994060959244754160446256439274009102928405658960381288167290851805,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424289,Total Kills Over/Under 24.5 in Game 1?,league-of-legends,Over,0.995,0.99,1,0.999,0.99,3398526720135651722512443940675259107432222682020748644585956627553713212867,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424289,Total Kills Over/Under 24.5 in Game 1?,league-of-legends,Under,0.005,0.99,1,0.999,,33216173659089182662971527470175807027667159129140256411270451954799115082995,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424290,Total Kills Over/Under 25.5 in Game 1?,league-of-legends,Over,0.995,0.99,1,0.999,0.99,59440379288705503910972897737355401423532094377742675779672070230109776719697,2026-02-24 06:10:00+00
